Primary Ray Stage;Intersection Stage;Color Stage;;
0,740111;1,5945;1,055074;;0,08896
0,114;0,853759;0,691574;;0,67094
0,087333;0,668722;0,546407;;0,54686
0,085889;0,668722;0,546796;;
0,086667;0,669648;0,544241;;
0,087778;0,668963;0,54563;;
0,087556;0,668019;0,544852;;
0,086556;0,670685;0,54363;;
0,086556;0,668481;0,546704;;
0,082556;0,670426;0,5445;;
0,139889;0,670315;0,543833;;
0,086;0,667815;0,544463;;
0,084333;0,668278;0,548037;;
0,087222;0,670907;0,546296;;
0,085;0,669556;0,545704;;
0,085556;0,667926;0,547185;;
0,085778;0,671611;0,54713;;
0,086111;0,668741;0,544407;;
0,086556;0,668611;0,545222;;
0,085667;0,672148;0,545352;;
0,086444;0,670815;0,5465;;
0,086111;0,669907;0,545759;;
0,087222;0,672574;0,547778;;
0,114667;0,667759;0,542981;;
0,086111;0,669352;0,5445;;
0,085111;0,669796;0,545333;;
0,086889;0,667148;0,591648;;
0,088667;0,670278;0,545574;;
0,084778;0,669537;0,54513;;
0,086444;0,672481;0,543444;;
0,087444;0,669704;0,544759;;
0,088667;0,702556;0,546463;;
0,094556;0,669556;0,545019;;
0,087111;0,668667;0,544204;;
0,086889;0,669556;0,546185;;
0,088667;0,667296;0,548037;;
0,088333;0,670093;0,547963;;
0,085;0,667259;0,548259;;
0,087222;0,6685;0,547204;;
0,085778;0,669815;0,545093;;
0,088444;0,669019;0,544407;;
0,086333;0,669741;0,546222;;
0,088444;0,669833;0,547;;
0,087556;0,669;0,546481;;
0,086667;0,668333;0,543556;;
0,086333;0,670352;0,543315;;
0,086556;0,669278;0,545463;;
0,086;0,670296;0,547593;;
0,123;0,714815;0,544981;;
0,085333;0,667593;0,545056;;
0,086;0,669111;0,546056;;
0,083333;0,66963;0,542833;;
0,087;0,714259;0,550037;;
0,087111;0,669167;0,545611;;
0,111333;0,671426;0,545963;;
0,088444;0,670796;0,545278;;
0,085889;0,669667;0,547519;;
0,085889;0,670444;0,545167;;
0,084778;0,671648;0,546074;;
0,087778;0,669444;0,546352;;
0,093667;0,669556;0,544278;;
0,087;0,669593;0,5445;;
0,086111;0,6675;0,544833;;
0,101;0,667759;0,545148;;
0,087556;0,670759;0,546444;;
0,087333;0,671296;0,545296;;
0,114889;0,669704;0,545241;;
0,086444;0,668481;0,545907;;
0,086778;0,67137;0,547315;;
0,090111;0,668685;0,547574;;
0,086556;0,670481;0,545926;;
0,086;0,670889;0,548611;;
0,085556;0,668778;0,546963;;
0,088;0,669519;0,54537;;
0,086222;0,669259;0,544407;;
0,087556;0,668519;0,546574;;
0,086222;0,667333;0,547833;;
0,087;0,670519;0,546556;;
0,087333;0,668037;0,543759;;
0,084444;0,671185;0,546056;;
0,087;0,667352;0,574833;;
0,088;0,671796;0,545352;;
0,087333;0,668833;0,542778;;
0,082556;0,671407;0,544278;;
0,086333;0,66863;0,54687;;
0,085333;0,673111;0,545537;;
0,086111;0,668611;0,544611;;
0,086;0,670667;0,545278;;
0,088333;0,670352;0,545833;;
0,086778;0,66887;0,544093;;
0,086111;0,669056;0,545944;;
0,087778;0,671426;0,546667;;
0,087556;0,671222;0,544407;;
0,084889;0,674444;0,545278;;
0,086889;0,670611;0,54713;;
0,084778;0,670833;0,547481;;
0,126333;0,669389;0,544759;;
0,088333;0,671074;0,545815;;
0,087;0,669241;0,544704;;
0,086889;0,668222;0,547667;;
0,086556;0,67;0,546889;;
0,087444;0,672444;0,586167;;
0,089778;0,671241;0,548444;;
0,086444;0,667481;0,545389;;
0,084333;0,670444;0,543926;;
0,086444;0,670685;0,545593;;
0,088111;0,668333;0,54713;;
0,088778;0,668481;0,545944;;
0,085444;0,672352;0,54687;;
0,086556;0,668815;0,545519;;
0,085444;0,672574;0,544704;;
0,088333;0,670722;0,574167;;
0,086889;0,66813;0,547204;;
0,086222;0,671685;0,545204;;
0,084556;0,669093;0,547204;;
0,115111;0,671111;0,544426;;
0,087111;0,697167;0,545963;;
0,086111;0,671667;0,545685;;
0,087556;0,669185;0,548907;;
0,087;0,671204;0,548778;;
0,084667;0,66837;0,544315;;
0,086889;0,671093;0,545389;;
0,084222;0,667111;0,544426;;
0,087111;0,670426;0,542667;;
0,089;0,670556;0,545463;;
0,086889;0,6685;0,544704;;
0,088444;0,670537;0,545278;;
0,086889;0,669667;0,546167;;
0,086;0,66887;0,544481;;
0,088556;0,670963;0,54437;;
0,088667;0,672556;0,546852;;
0,086556;0,668759;0,548833;;
0,085778;0,669259;0,545926;;
0,084556;0,669185;0,544333;;
0,087889;0,696093;0,546889;;
0,087333;0,671833;0,576019;;
0,085222;0,671407;0,547407;;
0,087;0,670148;0,546407;;
0,086222;0,669315;0,545167;;
0,085333;0,669667;0,546963;;
0,085667;0,67137;0,546481;;
0,086333;0,670556;0,598556;;
0,087111;0,669296;0,54513;;
0,093111;0,669556;0,546296;;
0,086556;0,667833;0,547037;;
0,085222;0,670889;0,545037;;
0,085;0,669778;0,543759;;
0,083889;0,670426;0,545;;
0,108889;0,670111;0,544;;
0,085778;0,66837;0,546204;;
0,095;0,671;0,545444;;
0,086111;0,6695;0,543667;;
0,086444;0,671037;0,5475;;
0,088111;0,672389;0,546593;;
0,087222;0,666019;0,545315;;
0,087444;0,67;0,544019;;
0,087333;0,670333;0,545611;;
0,085889;0,667611;0,544926;;
0,084778;0,671241;0,545111;;
0,085778;0,669889;0,545037;;
0,088222;0,669685;0,547833;;
0,087333;0,669389;0,545389;;
0,085778;0,668556;0,54637;;
0,086333;0,665667;0,544481;;
0,087444;0,66863;0,545037;;
0,087333;0,668685;0,545037;;
0,087111;0,667907;0,545407;;
0,087222;0,670685;0,542778;;
0,106444;0,670519;0,544537;;
0,086333;0,668111;0,544167;;
0,087222;0,666796;0,543593;;
0,086667;0,670611;0,543037;;
0,087111;0,701185;0,544667;;
0,088111;0,668185;0,544815;;
0,087778;0,67013;0,543259;;
0,087222;0,669241;0,545111;;
0,085556;0,6675;0,54563;;
0,086556;0,668648;0,545259;;
