Primary Ray Stage;Intersection Stage;Color Stage;;
0,735667;0,875848;6,038697;;0,11198
0,111556;0,675727;5,265566;;0,67525
0,103889;0,67502;5,296929;;5,28321
0,119556;0,673798;5,270626;;
0,103889;0,67397;5,278838;;
0,102444;0,675354;5,275768;;
0,122111;0,691657;5,276212;;
0,101111;0,676424;5,28803;;
0,117;0,673293;5,285192;;
0,110333;0,674323;5,295222;;
0,089444;0,673384;5,286768;;
0,128889;0,673182;5,290242;;
0,111889;0,672303;5,282333;;
0,118778;0,673737;5,286586;;
0,105333;0,674667;5,285394;;
0,123333;0,672778;5,285;;
0,086333;0,673061;5,282606;;
0,119889;0,674889;5,280465;;
0,103444;0,674495;5,300222;;
0,121222;0,675465;5,271808;;
0,087667;0,673939;5,27202;;
0,108;0,675414;5,269465;;
0,107111;0,675263;5,269606;;
0,109222;0,672242;5,260576;;
0,108333;0,673475;5,266717;;
0,115778;0,675333;5,27103;;
0,121556;0,673929;5,275212;;
0,106111;0,674525;5,275051;;
0,103889;0,672727;5,281626;;
0,246444;0,676172;5,288818;;
0,118889;0,673434;5,289909;;
0,111222;0,674626;5,293899;;
0,124;0,673717;5,28903;;
0,110222;0,673636;5,292364;;
0,106333;0,676566;5,287576;;
0,104;0,675495;5,283242;;
0,107556;0,673374;5,286313;;
0,106889;0,674465;5,285899;;
0,086111;0,674556;5,286929;;
0,108;0,673869;5,286848;;
0,091778;0,674596;5,285263;;
0,109111;0,674475;5,285253;;
0,122333;0,673333;5,270152;;
0,102;0,674566;5,274869;;
0,099333;0,694545;5,268848;;
0,098222;0,675707;5,271404;;
0,121778;0,675273;5,258798;;
0,104778;0,674939;5,271727;;
0,107111;0,674081;5,276515;;
0,105111;0,673646;5,270838;;
0,110667;0,674465;5,302172;;
0,117778;0,67298;5,280838;;
0,121667;0,677646;5,290848;;
0,097556;0,675899;5,289566;;
0,117778;0,675859;5,290778;;
0,114222;0,676869;5,292323;;
0,109444;0,674152;5,298242;;
0,117556;0,676333;5,292404;;
0,105444;0,674172;5,29098;;
0,116222;0,67599;5,284091;;
0,109333;0,67403;5,288626;;
0,119889;0,671737;5,286737;;
0,119;0,675707;5,288505;;
0,106111;0,675616;5,291949;;
0,108778;0,674303;5,287556;;
0,121667;0,676111;5,277374;;
0,108889;0,674333;5,269879;;
0,108444;0,674869;5,279475;;
0,107556;0,674646;5,278778;;
0,119778;0,677424;5,270131;;
0,118222;0,675707;5,270576;;
0,104889;0,676101;5,283848;;
0,122444;0,675303;5,275939;;
0,111556;0,674212;5,280485;;
0,123111;0,674212;5,283939;;
0,121889;0,673434;5,284667;;
0,118556;0,67503;5,293;;
0,125667;0,674606;5,290182;;
0,109889;0,675667;5,294758;;
0,116778;0,674;5,294646;;
0,115333;0,675;5,294556;;
0,127333;0,674596;5,31497;;
0,109778;0,674737;5,295495;;
0,122222;0,677586;5,29603;;
0,118889;0,675071;5,288889;;
0,106222;0,676828;5,290465;;
0,110444;0,675646;5,289242;;
0,094667;0,675465;5,282576;;
0,108778;0,674545;5,276444;;
0,108444;0,677667;5,273758;;
0,104111;0,676697;5,266283;;
0,106111;0,678283;5,264343;;
0,109333;0,676697;5,260444;;
0,109667;0,676919;5,268434;;
0,097222;0,676414;5,277556;;
0,108778;0,672737;5,282828;;
0,119;0,674232;5,281636;;
0,107333;0,675182;5,279929;;
0,106333;0,676475;5,289;;
0,106667;0,67596;5,286475;;
0,11;0,673646;5,296869;;
0,118222;0,673273;5,298869;;
0,121444;0,678626;5,284778;;
0,104778;0,675535;5,291172;;
0,104222;0,676576;5,293636;;
0,092444;0,676121;5,289879;;
0,122111;0,673626;5,293051;;
0,114667;0,677172;5,289222;;
0,124889;0,674152;5,290253;;
0,107556;0,677242;5,287899;;
0,107;0,67604;5,300222;;
0,107667;0,676535;5,272505;;
0,119333;0,674434;5,272889;;
0,129778;0,675606;5,276121;;
0,122778;0,671869;5,27398;;
0,115;0,676263;5,268808;;
0,119222;0,67503;5,261586;;
0,118556;0,675545;5,280818;;
0,126889;0,674212;5,27499;;
0,118;0,675121;5,281758;;
0,116778;0,674626;5,284626;;
0,107889;0,674212;5,287697;;
0,103778;0,673081;5,292121;;
0,121444;0,674172;5,295364;;
0,109222;0,675212;5,292677;;
0,101444;0,674606;5,317101;;
0,118556;0,67596;5,288394;;
0,119444;0,677424;5,289444;;
0,122778;0,674333;5,289444;;
0,125333;0,675364;5,284465;;
0,122889;0,674172;5,284929;;
0,109333;0,677404;5,288202;;
0,090333;0,673586;5,288141;;
0,124333;0,675818;5,286596;;
0,119556;0,675242;5,276061;;
0,115667;0,676192;5,279505;;
0,121;0,675152;5,275242;;
0,109667;0,67498;5,265465;;
0,122556;0,674444;5,270273;;
0,106556;0,674404;5,26298;;
0,096556;0,67401;5,283354;;
0,089333;0,678455;5,278384;;
0,126556;0,674919;5,284697;;
0,143556;0,674879;5,284;;
0,118556;0,674212;5,28903;;
0,122889;0,674525;5,294263;;
0,119;0,673626;5,288101;;
0,108778;0,673768;5,293727;;
0,116444;0,67496;5,294838;;
0,118889;0,676495;5,285677;;
0,108333;0,674727;5,284343;;
0,108889;0,674475;5,29102;;
0,122;0,676192;5,289323;;
0,117778;0,673535;5,291273;;
0,118;0,673152;5,284525;;
0,092444;0,675354;5,283919;;
0,118;0,694939;5,286152;;
0,088556;0,673626;5,268828;;
0,118333;0,676596;5,275717;;
0,119222;0,675374;5,277384;;
0,093;0,674838;5,271798;;
0,119;0,677707;5,26696;;
0,105111;0,676697;5,270929;;
0,109556;0,675182;5,281424;;
0,109667;0,673859;5,286889;;
0,123111;0,675818;5,28302;;
0,108444;0,672697;5,278889;;
0,118111;0,673303;5,288242;;
0,112556;0,673636;5,29001;;
0,107222;0,673182;5,297657;;
0,107333;0,676131;5,294202;;
0,104889;0,675737;5,307879;;
0,123444;0,673343;5,287879;;
0,119556;0,674576;5,291091;;
0,111778;0,673717;5,287616;;
0,118556;0,674899;5,290535;;
0,107778;0,673747;5,293303;;
0,118444;0,673778;5,289404;;
0,124;0,677818;5,293869;;
0,105667;0,674687;5,279556;;
0,100556;0,67704;5,275616;;
0,097556;0,675273;5,277313;;
0,107778;0,674121;5,271677;;
0,107556;0,674505;5,262192;;
0,106;0,674778;5,265313;;
0,103;0,67497;5,274515;;
0,122444;0,676596;5,27701;;
0,103778;0,674152;5,284859;;
0,087556;0,676646;5,279424;;
0,097;0,677333;5,29202;;
0,108333;0,675556;5,300556;;
0,105444;0,674293;5,298152;;
0,118111;0,67501;5,295111;;
0,118556;0,675455;5,31204;;
0,102778;0,673394;5,295152;;
0,121222;0,675747;5,289778;;
0,115667;0,671455;5,292949;;
0,110667;0,677111;5,282283;;
0,107667;0,676717;5,287879;;
0,119444;0,676525;5,283404;;
0,106778;0,675121;5,283465;;
0,107556;0,674798;5,290212;;
0,107778;0,673202;5,284495;;
0,125111;0,674626;5,269384;;
