Primary Ray Stage;Intersection Stage;Color Stage;;
0,311111;0,650556;0,544778;;0,08642
0,084556;0,648667;0,543667;;0,64951
0,087;0,639889;0,542333;;0,54979
0,086667;0,649222;0,735;;
0,083778;0,647778;0,541333;;
0,086667;0,646556;0,551333;;
0,085333;0,649111;0,539222;;
0,086222;0,645667;0,539889;;
0,085889;0,645222;0,543;;
0,088556;0,639556;0,543111;;
0,086222;0,649222;0,540556;;
0,085;0,645889;0,544667;;
0,086111;0,648778;0,542;;
0,086667;0,646;0,787667;;
0,085444;0,646444;0,543667;;
0,087444;0,648778;0,542111;;
0,087;0,647;0,543556;;
0,086;0,645;0,540667;;
0,087222;0,647222;0,539333;;
0,085778;0,648333;0,546333;;
0,086444;0,649778;0,537222;;
0,085889;0,649111;0,538778;;
0,085778;0,650556;0,542778;;
0,086111;0,652444;0,784444;;
0,086444;0,651778;0,541222;;
0,087556;0,648;0,546;;
0,084778;0,645222;0,539667;;
0,086778;0,649556;0,542222;;
0,086667;0,647333;0,540667;;
0,087111;0,648556;0,543667;;
0,083111;0,648889;0,549222;;
0,086667;0,647222;0,541889;;
0,087444;0,649556;0,543444;;
0,085667;0,647;0,731111;;
0,085778;0,647111;0,544556;;
0,086556;0,645222;0,541333;;
0,087111;0,646222;0,550333;;
0,085778;0,647;0,540333;;
0,086;0,648;0,538333;;
0,086778;0,648778;0,538667;;
0,086667;0,651222;0,544444;;
0,085;0,646778;0,546;;
0,086444;0,649;0,542889;;
0,087444;0,642111;0,543444;;
0,087;0,649111;0,542556;;
0,083333;0,648111;0,541333;;
0,088444;0,648556;0,546889;;
0,086667;0,647111;0,547667;;
0,085556;0,643444;0,549667;;
0,087889;0,642111;0,541333;;
0,086222;0,646778;0,544556;;
0,087;0,649;0,545111;;
0,084667;0,645444;0,541778;;
0,087111;0,64;0,540333;;
0,083333;0,644111;0,542222;;
0,087222;0,648444;0,542111;;
0,087556;0,647444;0,546111;;
0,085;0,650778;0,541222;;
0,086;0,648667;0,540556;;
0,087222;0,648778;0,538333;;
0,087667;0,638222;0,549667;;
0,086222;0,641778;0,542111;;
0,086333;0,648333;0,546222;;
0,084333;0,646778;0,541111;;
0,087222;0,641333;0,546556;;
0,086778;0,648778;0,543778;;
0,086111;0,645;0,546444;;
0,086444;0,647556;0,539667;;
0,086889;0,649889;0,541556;;
0,087;0,647222;0,541444;;
0,083556;0,648111;0,545;;
0,088333;0,637111;0,545222;;
0,086889;0,648111;0,546;;
0,087;0,649222;0,547;;
0,084444;0,649333;0,541778;;
0,085333;0,643556;0,538778;;
0,087;0,646111;0,542778;;
0,086333;0,647778;0,543333;;
0,086889;0,646556;0,540111;;
0,084444;0,651333;0,543778;;
0,088;0,647778;0,540556;;
0,084778;0,648556;0,541556;;
0,085667;0,648222;0,542333;;
0,086333;0,650778;0,539778;;
0,086667;0,646556;0,541222;;
0,086444;0,643333;0,544222;;
0,085556;0,649333;0,542556;;
0,086889;0,648222;0,544556;;
0,087333;0,647889;0,542778;;
0,085556;0,638222;0,542111;;
0,086444;0,652778;0,550556;;
0,086778;0,649111;0,542889;;
0,086556;0,644889;0,541333;;
0,086778;0,873667;0,546;;
0,087222;0,648111;0,542778;;
0,095111;0,653889;0,543;;
0,086556;0,646;0,538111;;
0,087556;0,651333;0,546;;
0,085556;0,651556;0,541778;;
0,087667;0,645778;0,543;;
0,087222;0,649111;0,546556;;
0,086444;0,648444;0,545667;;
0,087556;0,647333;0,540667;;
0,086778;0,652556;0,544111;;
0,086333;0,643889;0,549111;;
0,086556;0,645556;0,546556;;
