Primary Ray Stage;Intersection Stage;Color Stage;;
0,694556;2,497389;1,421778;;0,09048
0,135333;1,027889;0,847556;;0,65974
0,111;1,028944;0,849833;;0,54719
0,109333;1,027722;0,847056;;
0,086778;0,661222;0,548222;;
0,086556;0,654111;0,546222;;
0,083667;0,659889;0,545778;;
0,086222;0,6595;0,542722;;
0,082111;0,657611;0,543667;;
0,084333;0,655389;0,667667;;
0,086111;0,659111;0,545667;;
0,086556;0,657333;0,544389;;
0,087;0,656833;0,543;;
0,083778;0,658278;0,542833;;
0,087;0,659833;0,546;;
0,086889;0,657778;0,543056;;
0,085111;0,660111;0,542111;;
0,088333;0,658556;0,5445;;
0,087222;0,658556;0,543444;;
0,084667;0,661889;0,543333;;
0,087111;0,659444;0,548889;;
0,085444;0,656222;0,543333;;
0,087333;0,656722;0,546778;;
0,086667;0,659167;0,546833;;
0,087556;0,657056;0,541333;;
0,085667;0,658667;0,542556;;
0,087889;0,658556;0,547833;;
0,086111;0,654778;0,550333;;
0,083556;0,666556;0,547556;;
0,098333;0,658444;0,541389;;
0,085444;0,657611;0,540722;;
0,406222;0,657667;0,545111;;
0,086667;0,658167;0,547278;;
0,085333;0,658444;0,542056;;
0,086778;0,664222;0,546611;;
0,086444;0,661111;0,542444;;
0,086444;0,659444;0,541389;;
0,087667;0,656944;0,546111;;
0,086667;0,659222;0,542111;;
0,087;0,655444;0,548222;;
0,084667;0,654667;0,544944;;
0,085444;0,659056;0,667667;;
0,086444;0,658944;0,541;;
0,086111;0,663056;0,546778;;
0,086667;0,661278;0,5445;;
0,086111;0,656944;0,544889;;
0,087333;0,657056;0,5415;;
0,085667;0,657278;0,541389;;
0,087444;0,662056;0,544278;;
0,086222;0,659444;0,547556;;
0,087667;0,659722;0,544667;;
0,087222;0,657278;0,539111;;
0,108889;0,655222;0,545111;;
0,086556;0,656056;0,5475;;
0,085667;0,657889;0,543056;;
0,085222;0,658;0,544944;;
0,086444;0,662333;0,5465;;
0,087444;0,656222;0,545333;;
0,086889;0,66;0,545;;
0,084444;0,663167;0,545833;;
0,138111;0,659111;0,545833;;
0,086778;0,6605;0,544556;;
0,086;0,6605;0,5425;;
0,084667;0,657611;0,545889;;
0,087556;0,659;0,542444;;
0,087;0,657;0,543;;
0,088;0,656722;0,548278;;
0,087444;0,661444;0,5435;;
0,087;0,6565;0,5445;;
0,086667;0,659611;0,544722;;
0,086778;0,657167;0,546778;;
0,086333;0,659778;0,542778;;
0,088222;0,656722;0,547667;;
0,093333;0,658444;0,547167;;
0,086889;0,659111;0,542722;;
0,086667;0,660278;0,542778;;
0,087889;0,658;0,543222;;
0,085;0,660278;0,543611;;
0,086333;0,660611;0,549778;;
0,087222;0,6595;0,544056;;
0,087444;0,657722;0,546722;;
0,087778;0,658778;0,545778;;
0,085556;0,661778;0,545778;;
0,088667;0,657611;0,543056;;
0,085333;0,656278;0,543833;;
0,086111;0,658333;0,545;;
0,086556;0,659222;0,543722;;
0,086222;0,659389;0,543333;;
0,086444;0,662278;0,547333;;
0,086222;0,661556;0,548778;;
0,087556;0,659444;0,542889;;
0,087667;0,740278;0,546333;;
0,086778;0,660222;0,543667;;
0,085889;0,664333;0,544944;;
0,085667;0,661667;0,543056;;
0,086556;0,661222;0,544;;
