Primary Ray Stage;Intersection Stage;Color Stage;;
0,691444;1,055323;0,862192;;
0,088222;0,673848;0,542717;;0,08962
0,086111;0,673545;0,542899;;0,67436
0,085889;0,695636;0,542485;;0,54529
0,087778;0,672889;0,543444;;
0,086889;0,674111;0,542899;;
0,086889;0,67502;0,541374;;
0,085;0,678212;0,544333;;
0,087556;0,673202;0,54303;;
0,086778;0,672828;0,544525;;
0,126333;0,674455;0,543101;;
0,088667;0,673121;0,542818;;
0,086778;0,674263;0,561596;;
0,084556;0,676242;0,543848;;
0,087111;0,673626;0,54402;;
0,085444;0,674485;0,544778;;
0,087444;0,674162;0,543788;;
0,088;0,673232;0,543172;;
0,084778;0,675586;0,54303;;
0,086111;0,675;0,544071;;
0,087;0,673354;0,542697;;
0,085222;0,674889;0,54398;;
0,089556;0,673354;0,544505;;
0,086889;0,67199;0,543949;;
0,086556;0,671828;0,543121;;
0,088111;0,673192;0,543505;;
0,084;0,672414;0,543737;;
0,086778;0,675202;0,543485;;
0,087111;0,673212;0,542869;;
0,089778;0,672495;0,544121;;
0,086222;0,675293;0,542798;;
0,088333;0,673354;0,541697;;
0,087111;0,674121;0,543141;;
0,089222;0,671677;0,543394;;
0,087333;0,671182;0,545556;;
0,087444;0,673101;0,543465;;
0,086889;0,673545;0,544111;;
0,084;0,693657;0,544101;;
0,087222;0,675283;0,542939;;
0,087111;0,673939;0,560071;;
0,086444;0,67403;0,545909;;
0,087222;0,674354;0,543677;;
0,084556;0,673788;0,543747;;
0,086889;0,673727;0,543475;;
0,088;0,692818;0,542798;;
0,083556;0,675515;0,544848;;
0,088333;0,672475;0,544051;;
0,085667;0,675232;0,543899;;
0,108889;0,670384;0,544707;;
0,085444;0,672273;0,54397;;
0,088;0,674566;0,544444;;
0,086778;0,671566;0,54298;;
0,087;0,67302;0,54299;;
0,086778;0,673;0,543354;;
0,086778;0,671152;0,544051;;
0,085667;0,673333;0,544253;;
0,109222;0,672949;0,543919;;
0,088778;0,672485;0,543172;;
0,085778;0,673768;0,544576;;
0,086444;0,672768;0,543636;;
0,085444;0,673525;0,544657;;
0,088333;0,672364;0,559747;;
0,086111;0,674263;0,56001;;
0,088;0,674495;0,560838;;
0,083778;0,674424;0,54404;;
0,086889;0,672828;0,544283;;
0,085667;0,676212;0,544394;;
0,088111;0,67301;0,543636;;
0,086889;0,673111;0,561717;;
0,087667;0,674293;0,544646;;
0,087889;0,674485;0,545121;;
0,087333;0,671657;0,560606;;
0,085889;0,673333;0,543071;;
0,086889;0,674949;0,542333;;
0,082889;0,67302;0,544273;;
0,086778;0,674404;0,54397;;
0,087111;0,672374;0,544222;;
0,087444;0,67402;0,544192;;
0,086333;0,673919;0,543061;;
0,087889;0,674253;0,542586;;
0,087778;0,672949;0,543616;;
0,087778;0,674263;0,543051;;
0,087556;0,672788;0,542778;;
0,087667;0,673606;0,542556;;
0,086667;0,672475;0,54404;;
0,282556;0,673414;0,543697;;
0,086444;0,675182;0,542192;;
0,086333;0,672889;0,541323;;
0,085111;0,673697;0,542141;;
0,088111;0,674061;0,542828;;
0,087222;0,674889;0,54198;;
0,085333;0,671061;0,561929;;
0,087556;0,706525;0,543535;;
0,086778;0,675778;0,542808;;
0,087111;0,67098;0,542616;;
0,086333;0,674343;0,54304;;
0,085556;0,674687;0,542354;;
0,087333;0,675545;0,560414;;
0,087667;0,672061;0,541838;;
0,088556;0,674273;0,543404;;
0,087333;0,673111;0,541828;;
0,088444;0,672727;0,540778;;
0,087222;0,673475;0,542444;;
0,087444;0,675212;0,557869;;
0,088333;0,674899;0,558232;;
0,086222;0,675747;0,558586;;
0,084778;0,674242;0,55804;;
0,086889;0,672808;0,542343;;
0,086111;0,674768;0,561273;;
0,085667;0,674505;0,541192;;
0,086222;0,673354;0,543788;;
0,085111;0,671909;0,542798;;
0,084889;0,673919;0,543919;;
0,085667;0,673535;0,543848;;
0,085667;0,673081;0,543697;;
0,087667;0,675535;0,54399;;
0,087111;0,67401;0,544061;;
0,083889;0,697545;0,543636;;
0,096778;0,675424;0,544212;;
0,087444;0,675141;0,543384;;
0,086444;0,673283;0,542677;;
0,086;0,674758;0,544313;;
0,083444;0,673081;0,543212;;
0,085778;0,673434;0,54298;;
0,087667;0,673747;0,543444;;
0,086222;0,674525;0,543747;;
0,086667;0,673747;0,54403;;
0,086222;0,673828;0,544071;;
0,086333;0,673323;0,543192;;
0,084111;0,672525;0,543667;;
0,084667;0,674556;0,543051;;
0,083556;0,674374;0,544141;;
0,087333;0,672071;0,54298;;
0,084889;0,672838;0,543576;;
0,087667;0,674283;0,543798;;
0,086222;0,673747;0,543778;;
0,087;0,673253;0,542838;;
0,085;0,672333;0,542697;;
0,087444;0,673838;0,543465;;
0,083889;0,672667;0,542354;;
0,087889;0,672404;0,544384;;
0,086111;0,674576;0,543384;;
0,087333;0,673636;0,542455;;
0,087333;0,674202;0,544222;;
0,088;0,67302;0,543293;;
0,084889;0,673424;0,543313;;
0,086111;0,671515;0,542101;;
0,086333;0,674303;0,54403;;
0,085222;0,673313;0,542848;;
0,086667;0,675051;0,543152;;
0,276111;0,675667;0,544869;;
0,086667;0,67399;0,544182;;
0,086667;0,672687;0,562374;;
