Primary Ray Stage;Intersection Stage;Color Stage;;
0,681778;1,109722;3,606537;;0,10401
0,106222;0,666315;2,687463;;0,67011
0,106111;0,665815;2,684778;;2,69374
0,104444;0,6715;2,689037;;
0,103667;0,668111;2,687759;;
0,103778;0,667741;2,690759;;
0,090667;0,667944;2,693926;;
0,103;0,669556;2,683778;;
0,101667;0,668722;2,690352;;
0,103667;0,669481;2,690444;;
0,112556;0,670463;2,689574;;
0,104444;0,671722;2,692204;;
0,106444;0,669259;2,734;;
0,121778;0,668315;2,698333;;
0,101556;0,669278;2,694407;;
0,102222;0,66687;2,694352;;
0,114889;0,67063;2,694963;;
0,101222;0,666815;2,695907;;
0,099556;0,669074;2,691;;
0,105;0,667981;2,694722;;
0,103667;0,669074;2,698667;;
0,101;0,691019;2,693593;;
0,100333;0,668981;2,695315;;
0,105556;0,667722;2,698222;;
0,097;0,670593;2,700352;;
0,102;0,669481;2,693667;;
0,104;0,668259;2,697167;;
0,100222;0,669685;2,692148;;
0,100222;0,669611;2,699222;;
0,103556;0,671722;2,697889;;
0,104222;0,671852;2,693241;;
0,103778;0,669167;2,694278;;
0,104111;0,669074;2,698963;;
0,102667;0,673037;2,694407;;
0,197;0,666796;2,699241;;
0,110667;0,670333;2,693167;;
0,101111;0,668852;2,692722;;
0,104778;0,666148;2,69313;;
0,099444;0,667889;2,693037;;
0,100889;0,669852;2,696259;;
0,101111;0,669296;2,6935;;
0,101444;0,672944;2,693019;;
0,101;0,672333;2,693019;;
0,102111;0,668074;2,693537;;
0,102556;0,668574;2,692389;;
0,120111;0,668648;2,694278;;
0,087889;0,668333;2,69213;;
0,091778;0,669556;2,694019;;
0,100556;0,668241;2,692722;;
0,103667;0,669796;2,699111;;
0,105333;0,669019;2,689815;;
0,100889;0,668426;2,692759;;
0,107667;0,667593;2,69763;;
0,110111;0,66687;2,698463;;
0,100444;0,668963;2,689407;;
0,101556;0,669556;2,693704;;
0,123778;0,668;2,689333;;
0,099;0,66863;2,692926;;
0,102222;0,667667;2,69237;;
0,102889;0,668241;2,688315;;
0,093222;0,668241;2,695648;;
0,103444;0,668222;2,687574;;
0,104111;0,669593;2,690111;;
0,101889;0,670148;2,694519;;
0,101333;0,670296;2,689889;;
0,098222;0,668685;2,687278;;
0,096556;0,670981;2,689944;;
0,090333;0,669833;2,692815;;
0,100667;0,671111;2,690926;;
0,102333;0,669556;2,687204;;
0,122333;0,666556;2,686833;;
0,103889;0,669056;2,685093;;
0,100556;0,669222;2,683185;;
0,084444;0,671019;2,691648;;
0,099111;0,672185;2,680204;;
0,102333;0,67;2,688741;;
0,104889;0,670222;2,686722;;
0,089667;0,667963;2,692426;;
0,101889;0,670019;2,690667;;
0,102556;0,668093;2,690574;;
0,100556;0,669056;2,687574;;
0,102222;0,667333;2,692278;;
0,101889;0,667185;2,695556;;
0,102444;0,667204;2,696778;;
0,108;0,702481;2,694611;;
0,122333;0,668981;2,694259;;
0,100111;0,669685;2,698111;;
0,109111;0,670204;2,69363;;
0,101667;0,66713;2,695019;;
0,102889;0,707704;2,698111;;
0,105444;0,669778;2,694685;;
0,108556;0,670167;2,693167;;
0,109;0,669167;2,692926;;
0,103889;0,668167;2,694519;;
0,101889;0,665222;2,7005;;
0,101556;0,670148;2,697074;;
0,101556;0,670519;2,696648;;
0,103667;0,671963;2,6975;;
0,085444;0,672407;2,693148;;
0,119667;0,672704;2,701074;;
0,109667;0,669833;2,697111;;
0,101222;0,669352;2,698019;;
0,101667;0,668389;2,698074;;
0,103111;0,669444;2,694074;;
0,104778;0,66637;2,697667;;
0,106778;0,66763;2,692333;;
0,101222;0,666259;2,695796;;
0,100111;0,67113;2,695889;;
0,087222;0,667907;2,695981;;
0,103667;0,668;2,690722;;
0,100667;0,669426;2,694093;;
0,090667;0,669093;2,694389;;
0,100889;0,666056;2,694852;;
0,098222;0,669315;2,692796;;
0,101778;0,671444;2,688889;;
0,103222;0,671037;2,695907;;
0,097667;0,66737;2,691574;;
0,100556;0,670204;2,69363;;
0,103889;0,669278;2,699093;;
0,113444;0,67037;2,691593;;
0,085667;0,666611;2,69287;;
0,101222;0,670037;2,693111;;
0,103667;0,66837;2,692481;;
0,099333;0,666259;2,691741;;
0,103222;0,669944;2,695537;;
0,100556;0,668759;2,694352;;
0,095889;0,667204;2,696722;;
0,112111;0,669796;2,699315;;
0,101333;0,670241;2,694056;;
0,101667;0,669204;2,697907;;
0,100444;0,666833;2,692667;;
0,110889;0,669037;2,692611;;
