Primary Ray Stage;Intersection Stage;Color Stage;;
2,193778;5,191981;4,170204;;0,48176
0,481667;4,274593;3,70763;;4,27955
0,485333;4,278;3,70887;;3,71761
0,475;4,310815;3,746722;;
0,478111;4,308667;3,70987;;
0,477556;4,244296;3,716019;;
0,487333;4,343481;3,716093;;
0,484111;4,278;3,712352;;
0,480556;4,231167;3,715556;;
0,474889;4,270093;3,716907;;
0,483111;4,214833;3,714778;;
0,481778;4,247278;3,718296;;
0,479444;4,289852;3,713667;;
0,481;4,293574;3,7215;;
0,485444;4,289833;3,711315;;
0,477333;4,351389;3,717241;;
0,480333;4,331352;3,715574;;
0,486;4,265519;3,716926;;
0,477444;4,254074;3,71513;;
0,476;4,206611;3,720481;;
0,493111;4,290389;3,715241;;
0,477111;4,2715;3,71787;;
0,483444;4,292944;3,719056;;
0,493;4,283389;3,71237;;
0,474333;4,29463;3,717741;;
0,474333;4,261315;3,777019;;
0,482333;4,323056;3,711667;;
0,482889;4,260778;3,712907;;
0,477333;4,326704;3,706148;;
0,487;4,309759;3,711815;;
0,482222;4,259537;3,710889;;
0,480444;4,248519;3,712611;;
0,478444;4,27887;3,71713;;
0,482111;4,29137;3,711389;;
0,483222;4,313556;3,72013;;
0,476556;4,287074;3,720019;;
0,48;4,235278;3,723019;;
0,489;4,308722;3,717593;;
0,471667;4,219204;3,719519;;
0,482111;4,321;3,720185;;
0,481556;4,271722;3,718833;;
0,485111;4,274019;3,716815;;
0,484778;4,256278;3,718704;;
0,473667;4,279111;3,719796;;
0,471667;4,197463;3,725889;;
0,479444;4,210074;3,720556;;
0,473;4,272741;3,721463;;
0,474556;4,277889;3,72013;;
0,480556;4,317315;3,719333;;
0,487778;4,316852;3,720926;;
0,485222;4,316574;3,721;;
0,480333;4,306389;3,72137;;
0,479444;4,233704;3,715852;;
0,497333;4,305852;3,715926;;
0,484222;4,205481;3,71813;;
0,477;4,275926;3,720463;;
0,474111;4,26537;3,722074;;
0,480667;4,290926;3,711556;;
0,484556;4,275426;3,712481;;
0,475333;4,250778;3,706352;;
0,477444;4,272907;3,708167;;
0,482778;4,322648;3,706241;;
0,480556;4,28737;3,709315;;
0,480333;4,303556;3,711926;;
0,478778;4,326981;3,709722;;
0,481111;4,275074;3,71413;;
0,482333;4,240556;3,71713;;
0,488222;4,304185;3,7175;;
0,482111;4,29687;3,716333;;
0,477778;4,245722;3,717185;;
0,471889;4,321407;3,716778;;
0,487778;4,295241;3,714185;;
0,479889;4,392241;3,719093;;
0,481;4,294167;3,724222;;
0,479111;4,292574;3,717593;;
0,483444;4,295815;3,723204;;
0,484667;4,255;3,717444;;
0,471333;4,253648;3,716185;;
0,472222;4,245352;3,715074;;
0,482333;4,28863;3,713926;;
0,485889;4,273241;3,715204;;
0,501778;4,285407;3,717056;;
0,490333;4,27863;3,720611;;
0,487444;4,268833;3,714222;;
0,488111;4,275222;3,714704;;
0,48;4,253481;3,715481;;
0,483333;4,315481;3,71537;;
0,483333;4,276056;3,711204;;
0,489111;4,241278;3,711019;;
0,480333;4,28237;3,718463;;
0,481222;4,324;3,711759;;
0,480556;4,255611;3,712185;;
0,486889;4,239185;3,713741;;
0,482111;4,33263;3,709704;;
0,491;4,329685;3,712315;;
0,486333;4,286722;3,706019;;
0,486222;4,227111;3,717463;;
0,486111;4,267963;3,71087;;
0,475889;4,278056;3,716278;;
0,475889;4,328315;3,715019;;
0,477556;4,32913;3,714815;;
0,492778;4,219056;3,775852;;
0,487667;4,224537;3,776296;;
0,481778;4,242037;3,715926;;
0,479444;4,293463;3,717556;;
0,479889;4,280389;3,718778;;
0,477556;4,259093;3,724148;;
0,489111;4,257944;3,717444;;
0,473333;4,256463;3,714907;;
0,487;4,269611;3,720556;;
0,483444;4,275648;3,722241;;
0,478889;4,289037;3,715519;;
0,477333;4,259833;3,711519;;
0,474667;4,30237;3,720185;;
0,491222;4,279407;3,716815;;
0,477889;4,307463;3,71763;;
0,489111;4,295241;3,714;;
0,478111;4,236204;3,716463;;
0,466667;4,287944;3,721852;;
0,485556;4,301241;3,712593;;
0,484444;4,273019;3,71213;;
0,482;4,264537;3,707093;;
0,492222;4,241778;3,718852;;
