Primary Ray Stage;Intersection Stage;Color Stage;;
1,551;4,626838;220,186263;;0,48401
0,494667;4,517051;220,110485;;4,47207
0,485889;4,467576;220,08803;;220,10878
0,502444;4,496475;220,091202;;
0,478444;4,54704;220,061838;;
0,481333;4,45002;220,107061;;
0,485778;4,459556;220,134364;;
0,483556;4,47501;219,989899;;
0,476778;4,491747;220,130838;;
0,495111;4,415939;220,133737;;
0,484222;4,502152;220,203111;;
0,487444;4,425727;220,078434;;
0,47;4,486818;220,081293;;
0,488;4,521919;220,129212;;
0,492778;4,44403;220,140242;;
0,488556;4,38298;220,155424;;
0,475667;4,449949;220,190444;;
0,496889;4,45099;220,181293;;
0,477111;4,461101;220,073263;;
0,475444;4,447495;220,048758;;
0,475778;4,487131;220,230859;;
0,475;4,473919;220,092596;;
0,480333;4,498263;220,157525;;
0,492333;4,459192;220,078192;;
0,480556;4,448495;220,082273;;
0,476778;4,465808;220,079586;;
0,475444;4,492071;220,030253;;
0,480444;4,537354;220,159596;;
0,488333;4,491495;220,109071;;
0,485222;4,481768;220,205758;;
0,489667;4,47001;220,084717;;
0,486778;4,484879;220,094808;;
0,489222;4,488828;220,121283;;
0,485778;4,422889;220,038465;;
0,493556;4,487879;220,155949;;
0,492556;4,43904;220,06301;;
0,497;4,46204;220,113949;;
0,495222;4,489505;220,096152;;
0,497778;4,429566;220,075444;;
0,481;4,500364;220,195919;;
0,488667;4,464818;219,989758;;
0,498667;4,456919;220,099444;;
0,485778;4,467424;220,143293;;
0,488889;4,481586;220,155556;;
0,494667;4,483051;220,154444;;
0,494444;4,490626;220,100404;;
0,480444;4,494;220,09401;;
0,489556;4,503667;220,058949;;
0,475333;4,462495;220,168667;;
0,480222;4,471475;220,133485;;
0,490556;4,495273;220,107677;;
0,487667;4,426343;220,085313;;
0,472222;4,450131;220,108909;;
0,483889;4,467828;220,079677;;
0,487778;4,444556;220,047525;;
0,482;4,487697;220,070222;;
0,474667;4,465919;220,102596;;
0,476556;4,474505;220,112768;;
0,477111;4,523131;220,114162;;
0,475667;4,440727;220,010848;;
0,481;4,483101;220,116697;;
0,481333;4,492747;220,041273;;
0,481889;4,497303;220,113556;;
0,484333;4,46403;220,099152;;
0,478111;4,434394;220,098091;;
0,486444;4,441525;220,117111;;
0,486889;4,484434;220,062495;;
0,483222;4,496313;220,21397;;
0,474333;4,438636;220,16401;;
0,481111;4,469192;220,183616;;
0,480667;4,453687;220,038889;;
0,484556;4,500465;220,045606;;
0,478444;4,456283;220,105879;;
0,485444;4,49802;220,023253;;
0,487111;4,503808;220,143909;;
0,479333;4,435758;220,102061;;
0,472111;4,481747;220,110949;;
0,493333;4,519212;220,205202;;
0,474111;4,510768;220,073515;;
0,482778;4,463677;220,160212;;
0,482556;4,442263;219,998778;;
0,499778;4,422323;220,150263;;
0,483667;4,468162;220,154192;;
0,486889;4,445949;220,128253;;
0,481444;4,458707;220,114394;;
0,470889;4,500232;220,135636;;
0,484556;4,512303;220,145929;;
0,481889;4,501071;219,998182;;
0,489222;4,521566;220,157747;;
0,480556;4,488212;220,035778;;
0,475;4,47198;220,157263;;
0,484444;4,528222;220,272636;;
0,485444;4,479121;220,061929;;
0,494333;4,449374;220,132515;;
0,484111;4,465788;220,079626;;
0,490444;4,463162;220,096313;;
0,493889;4,468616;220,121242;;
0,488333;4,45298;220,065172;;
0,482778;4,438202;220,145939;;
0,482444;4,466758;220,058364;;
0,489556;4,471667;220,103384;;
0,476222;4,480889;220,089889;;
0,481444;4,436778;220,156152;;
0,477667;4,506081;220,065081;;
0,480667;4,438646;220,100838;;
0,490333;4,468475;220,111071;;
0,488444;4,444667;220,088727;;
0,486;4,462535;220,133192;;
