Primary Ray Stage;Intersection Stage;Color Stage;;
1,059;12,532815;48,814852;;0,52888
0,529889;11,758185;48,879778;;11,75811
0,528444;11,757222;48,883741;;48,86074
0,529111;11,757704;48,864611;;
0,530222;11,757093;48,840241;;
0,529444;11,757537;48,877259;;
0,527333;11,758648;48,880296;;
0,528667;11,759185;48,864259;;
0,528667;11,759296;48,843278;;
0,528333;11,758;48,855981;;
0,528889;11,755944;48,877407;;
0,529667;11,756833;48,86437;;
0,527333;11,758167;48,859296;;
0,526778;11,759111;48,827722;;
0,529444;11,757093;48,877352;;
0,529778;11,757537;48,864944;;
0,529111;11,756537;48,862556;;
0,528333;11,758148;48,825185;;
0,529;11,757111;48,879889;;
0,529667;11,75863;48,883444;;
0,53;11,758333;48,870259;;
0,529;11,757852;48,844907;;
0,529111;11,757796;48,857019;;
0,527222;11,758833;48,878722;;
0,528667;11,759778;48,864796;;
0,528778;11,758574;48,843685;;
0,529444;11,758056;48,825537;;
0,528778;11,757537;48,874722;;
0,528889;11,757593;48,863111;;
0,529333;11,757556;48,8585;;
0,527667;11,759593;48,814093;;
0,528778;11,757426;48,878889;;
0,528667;11,756944;48,883889;;
0,529333;11,757259;48,866926;;
0,528889;11,757352;48,841648;;
0,529667;11,758111;48,876759;;
0,529667;11,757667;48,887722;;
0,529556;11,756278;48,873463;;
0,528556;11,758685;48,845111;;
0,529889;11,75687;48,856574;;
0,529222;11,756741;48,881148;;
0,529333;11,757574;48,863778;;
0,529111;11,759111;48,856963;;
0,53;11,75613;48,826981;;
0,528;11,759241;48,876278;;
0,529556;11,759796;48,867741;;
0,529556;11,758463;48,861352;;
0,528667;11,760778;48,824759;;
0,529556;11,75787;48,876537;;
0,529333;11,757796;48,883167;;
0,529111;11,759037;48,863815;;
0,529444;11,759315;48,845926;;
0,528889;11,758296;48,859019;;
0,528667;11,757056;48,887907;;
0,528778;11,758111;48,870833;;
0,528556;11,758;48,845833;;
0,528111;11,758167;48,823833;;
0,527333;11,759463;48,883056;;
0,527889;11,757111;48,863815;;
0,529333;11,758167;48,858944;;
0,528556;11,757352;48,815648;;
0,528778;11,757611;48,87837;;
0,529;11,758241;48,871815;;
0,529556;11,757444;48,862556;;
0,529556;11,757444;48,840889;;
0,529444;11,757315;48,871389;;
0,528444;11,758852;48,883981;;
0,527222;11,757907;48,86737;;
0,529556;11,759556;48,852389;;
0,529222;11,758352;48,857389;;
0,528333;11,759407;48,883352;;
0,528;11,759056;48,869704;;
0,529222;11,759111;48,861981;;
0,529222;11,756426;48,818574;;
0,529111;11,7605;48,878111;;
0,529444;11,755981;48,864352;;
0,529;11,757296;48,863185;;
0,528444;11,758593;48,825204;;
0,528556;11,759074;48,876778;;
0,528889;11,75837;48,876741;;
0,529444;11,759185;48,866611;;
0,528;11,757333;48,84163;;
0,528667;11,757833;48,858574;;
0,529556;11,758296;48,881333;;
0,529333;11,759426;48,866222;;
0,526444;11,760389;48,846926;;
0,527667;11,758352;48,829333;;
0,527333;11,758407;48,886852;;
0,529556;11,759648;48,867778;;
0,530222;11,756148;48,862111;;
0,529444;11,758759;48,812426;;
0,528667;11,756778;48,878574;;
0,529444;11,756444;48,878481;;
0,528778;11,75787;48,86113;;
0,527111;11,758778;48,840296;;
0,529333;11,75837;48,873;;
0,529444;11,757593;48,880519;;
0,529556;11,758815;48,862722;;
0,529;11,758019;48,840167;;
0,528889;11,758722;48,854667;;
0,528667;11,759611;48,883833;;
0,528111;11,755981;48,867204;;
0,529333;11,758315;48,864222;;
0,528444;11,757037;48,818648;;
0,529667;11,75987;48,879944;;
0,527;11,757944;48,872315;;
0,528667;11,759556;48,864519;;
0,529111;11,75863;48,82587;;
0,529222;11,758759;48,874519;;
0,528333;11,757611;48,879426;;
0,528222;11,756759;48,863185;;
0,529556;11,757778;48,842648;;
0,528889;11,758685;48,857389;;
0,529556;11,757389;48,876056;;
0,528333;11,757315;48,862056;;
0,527889;11,757574;48,839889;;
0,528778;11,757944;48,827685;;
0,529444;11,758241;48,879833;;
0,529333;11,757037;48,864815;;
0,528778;11,758111;48,864944;;
0,528333;11,760315;48,814704;;
0,529;11,757426;48,878148;;
0,528889;11,759963;48,882537;;
0,53;11,758444;48,863778;;
0,529333;11,759056;48,843037;;
0,528778;11,757074;48,872667;;
0,529111;11,757778;48,876315;;
0,529;11,758759;48,869056;;
0,527778;11,75963;48,841;;
0,528667;11,756444;48,853426;;
0,529889;11,755407;48,877685;;
0,528556;11,758481;48,863704;;
0,53;11,759593;48,855093;;
0,528889;11,757111;48,81813;;
0,528778;11,759315;48,876352;;
0,529778;11,760222;48,866056;;
0,529;11,76;48,868815;;
0,529222;11,759389;48,829704;;
0,529222;11,756796;48,879037;;
0,529556;11,757963;48,88237;;
0,528778;11,758685;48,867093;;
0,528333;11,758278;48,843463;;
0,529444;11,759648;48,858185;;
0,527667;11,757852;48,877407;;
0,528778;11,758019;48,863204;;
0,527;11,757741;48,838426;;
0,529333;11,757519;48,827056;;
0,529111;11,758315;48,870981;;
0,529778;11,757574;48,866241;;
0,529444;11,756333;48,859778;;
0,529222;11,758167;48,816574;;
0,529667;11,759111;48,877704;;
0,528889;11,756926;48,878111;;
0,528556;11,757333;48,86313;;
