Primary Ray Stage;Intersection Stage;Color Stage;;
2,124111;4,124167;12,776056;;0,39747
0,395778;3,639389;12,115926;;3,66017
0,398;3,684111;12,130907;;12,13528
0,394444;3,693556;12,146685;;
0,398667;3,677167;12,138704;;
0,406556;3,664185;12,15487;;
0,400111;3,641593;12,142833;;
0,399889;3,648167;12,134574;;
0,397444;3,671963;12,147926;;
0,393222;3,688963;12,138852;;
0,395556;3,647481;12,202222;;
0,394889;3,656037;12,135;;
0,399111;3,674667;12,145296;;
0,394333;3,612;12,135722;;
0,399111;3,696907;12,13313;;
0,401667;3,628296;12,123593;;
0,400333;3,667352;12,105833;;
0,400333;3,630944;12,126315;;
0,396778;3,606426;12,142259;;
0,397;3,702056;12,151667;;
0,397;3,674241;12,1435;;
0,399778;3,672241;12,137185;;
0,397;3,666963;12,135722;;
0,402;3,72037;12,138259;;
0,399444;3,631611;12,135852;;
0,394778;3,620463;12,141944;;
0,399667;3,685722;12,137944;;
0,392889;3,682296;12,151389;;
0,404556;3,652981;12,130167;;
0,400556;3,675519;12,12587;;
0,395444;3,630056;12,117778;;
0,4;3,683741;12,13187;;
0,397;3,657944;12,111778;;
0,404667;3,68587;12,124778;;
0,397778;3,632333;12,129222;;
0,399778;3,665111;12,144389;;
0,398;3,666315;12,151481;;
0,399556;3,711704;12,1415;;
0,396889;3,62813;12,151796;;
0,389889;3,698759;12,139574;;
0,398667;3,657037;12,138185;;
0,401;3,666278;12,137278;;
0,398111;3,617852;12,123574;;
0,400444;3,681148;12,144241;;
0,391778;3,643111;12,135093;;
0,393111;3,641315;12,1355;;
0,398667;3,63163;12,133204;;
0,398333;3,633093;12,130944;;
0,399;3,638;12,105574;;
0,392778;3,664944;12,112222;;
0,398444;3,632685;12,135741;;
0,402444;3,638037;12,138296;;
0,401889;3,611574;12,141759;;
0,400889;3,632759;12,138981;;
0,397444;3,642426;12,150556;;
0,392;3,669759;12,135574;;
0,396;3,680148;12,157352;;
0,394444;3,69213;12,133648;;
0,397556;3,647074;12,175056;;
0,393778;3,683093;12,133907;;
0,402667;3,653426;12,130093;;
0,396333;3,659;12,132463;;
0,396333;3,695148;12,139037;;
0,404667;3,664667;12,119556;;
0,398333;3,675;12,117667;;
0,394889;3,699963;12,108944;;
0,395222;3,638463;12,13563;;
0,390444;3,691389;12,138852;;
0,393778;3,646019;12,138037;;
0,390778;3,601167;12,138556;;
0,399222;3,630519;12,137111;;
0,394889;3,650537;12,149037;;
0,398444;3,665648;12,136667;;
0,395889;3,629963;12,132407;;
0,398;3,67013;12,139463;;
0,397889;3,752185;12,150111;;
0,394444;3,672019;12,135296;;
0,397;3,661815;12,1375;;
0,395778;3,655481;12,140593;;
0,402444;3,656167;12,119778;;
0,396;3,622778;12,119519;;
0,396111;3,680352;12,119278;;
0,396556;3,687352;12,127259;;
0,395667;3,687593;12,127407;;
0,396556;3,701259;12,142148;;
0,400444;3,644815;12,145796;;
0,389778;3,666;12,14663;;
0,402222;3,683759;12,136148;;
0,399111;3,612259;12,146667;;
0,394111;3,655926;12,146481;;
0,393667;3,67237;12,135037;;
0,398111;3,630426;12,141259;;
0,394444;3,660685;12,128648;;
0,396222;3,628444;12,126704;;
