Primary Ray Stage;Intersection Stage;Color Stage;;
2,213333;5,038939;3,942667;;0,48257
0,487556;4,439677;3,720657;;4,4166
0,484778;4,437495;3,727909;;3,72313
0,483;4,406717;3,725283;;
0,476444;4,405899;3,724657;;
0,503111;4,422535;3,723364;;
0,478556;4,387101;3,730434;;
0,478333;4,434081;3,728586;;
0,484667;4,430323;3,725354;;
0,481;4,383545;3,725283;;
0,476111;4,377333;3,72804;;
0,472444;4,428434;3,724626;;
0,485111;4,424869;3,730798;;
0,469778;4,471374;3,724636;;
0,485556;4,403657;3,717657;;
0,484;4,422384;3,720596;;
0,479667;4,424242;3,714909;;
0,470222;4,447919;3,718253;;
0,479889;4,429828;3,723091;;
0,485;4,399798;3,727242;;
0,490111;4,433283;3,723869;;
0,479778;4,416677;3,729788;;
0,478889;4,465091;3,724586;;
0,489333;4,422071;3,726475;;
0,478778;4,450384;3,728838;;
0,483333;4,434313;3,725495;;
0,488556;4,420071;3,730818;;
0,481889;4,436535;3,724818;;
0,480889;4,347646;3,726212;;
0,485667;4,433121;3,725596;;
0,492222;4,413758;3,724111;;
0,486222;4,41501;3,717838;;
0,478778;4,374414;3,716061;;
0,476;4,401444;3,717434;;
0,479333;4,461202;3,719323;;
0,478778;4,407899;3,721859;;
0,494889;4,448566;3,721313;;
0,480444;4,432929;3,72301;;
0,474111;4,383879;3,725798;;
0,477889;4,377434;3,72696;;
0,485333;4,395949;3,723061;;
0,495556;4,419545;3,726414;;
0,485889;4,421525;3,724152;;
0,473;4,425212;3,721293;;
0,481778;4,435566;3,726828;;
0,491111;4,416616;3,723273;;
0,475889;4,414475;3,72499;;
0,474778;4,387273;3,72604;;
0,493444;4,382626;3,715586;;
0,483222;4,409131;3,717545;;
0,494;4,397525;3,714192;;
0,484333;4,40003;3,720374;;
0,488111;4,39696;3,722354;;
0,478333;4,396061;3,722646;;
0,487111;4,430394;3,724697;;
0,490222;4,430707;3,724495;;
0,480667;4,418869;3,723242;;
0,487222;4,446626;3,724717;;
0,473889;4,460939;3,722939;;
0,473556;4,42802;3,725051;;
0,486222;4,405242;3,723212;;
0,480111;4,395424;3,721717;;
0,481556;4,41196;3,725141;;
0,483111;4,380091;3,725697;;
0,480667;4,414545;3,723919;;
0,487222;4,418121;3,717424;;
0,479889;4,383949;3,717192;;
0,480556;4,373253;3,718202;;
0,482667;4,45999;3,71698;;
0,485333;4,359384;3,725869;;
0,482444;4,355879;3,723475;;
0,481778;4,371919;3,72598;;
0,483222;4,383434;3,722374;;
0,479222;4,451404;3,725071;;
0,474889;4,434949;3,723465;;
0,503778;4,417313;3,719515;;
0,486889;4,412778;3,722475;;
0,483778;4,399697;3,725202;;
0,480333;4,414596;3,725485;;
0,473778;4,41003;3,722091;;
0,481;4,439343;3,720545;;
0,478222;4,386141;3,726586;;
0,482333;4,439818;3,716313;;
0,481778;4,378152;3,717384;;
0,484444;4,421707;3,718172;;
0,486889;4,434727;3,717798;;
0,484889;4,408798;3,722707;;
0,481222;4,422384;3,728192;;
0,493111;4,42299;3,725263;;
0,481222;4,396343;3,728333;;
0,488111;4,443061;3,729192;;
0,485778;4,460848;3,725;;
0,483667;4,444253;3,723515;;
0,474889;4,437101;3,728192;;
0,480444;4,461697;3,72796;;
0,489556;4,444677;3,725616;;
0,481111;4,442444;3,723758;;
0,480889;4,379636;3,72802;;
0,478222;4,457313;3,716505;;
0,478444;4,436313;3,71498;;
0,477889;4,438293;3,71798;;
0,485889;4,451626;3,71604;;
0,482667;4,434808;3,715828;;
0,479778;4,368293;3,724182;;
0,476889;4,388313;3,726;;
0,493222;4,40797;3,724758;;
0,485333;4,360101;3,722414;;
0,485111;4,407384;3,721747;;
0,474889;4,404606;3,725475;;
0,481;4,449677;3,723768;;
0,480556;4,427707;3,725626;;
0,483556;4,380505;3,725051;;
0,482778;4,406818;3,724283;;
0,480333;4,444727;3,724273;;
0,476778;4,421414;3,722818;;
0,473778;4,39896;3,718061;;
0,474667;4,396071;3,715485;;
0,485444;4,459354;3,717929;;
0,485778;4,387192;3,747374;;
0,485222;4,40599;3,715727;;
0,488778;4,447717;3,720737;;
0,480778;4,372929;3,722455;;
0,485111;4,466293;3,723374;;
0,476889;4,448071;3,723788;;
0,476889;4,425798;3,724626;;
0,483111;4,430798;3,723152;;
0,479;4,440495;3,721646;;
0,488556;4,399232;3,723444;;
0,479;4,394586;3,720374;;
0,487444;4,384788;3,722798;;
0,471556;4,411152;3,724869;;
0,474889;4,373717;3,724444;;
0,481333;4,452354;3,717343;;
0,484333;4,43098;3,716768;;
0,477333;4,411111;3,720323;;
0,484667;4,442899;3,716949;;
0,658333;4,434071;3,723707;;
0,484444;4,433404;3,724253;;
0,495778;4,437091;3,723424;;
0,483333;4,435364;3,724798;;
0,475333;4,417869;3,723283;;
0,475333;4,432475;3,723394;;
0,479556;4,37804;3,723869;;
0,486222;4,424434;3,727909;;
0,487111;4,418192;3,725495;;
0,484111;4,393364;3,725667;;
0,473556;4,445313;3,724626;;
0,478111;4,406667;3,724424;;
0,484556;4,413657;3,724616;;
0,478333;4,427242;3,716899;;
0,478556;4,415687;3,715071;;
0,495;4,411899;3,714434;;
0,477889;4,417141;3,715414;;
0,495444;4,362525;3,724828;;
0,476111;4,402616;3,722283;;
0,481111;4,429162;3,726253;;
0,477333;4,410444;3,727253;;
0,493;4,415535;3,726657;;
0,476889;4,42001;3,725303;;
0,495889;4,406939;3,727737;;
0,481222;4,434263;3,723848;;
0,474556;4,439101;3,727788;;
0,501667;4,40301;3,726879;;
0,481222;4,453444;3,726626;;
0,479;4,425798;3,724545;;
0,483222;4,419525;3,723313;;
0,486333;4,404273;3,718212;;
0,473778;4,401475;3,716596;;
0,477222;4,451455;3,718444;;
0,481667;4,424111;3,718939;;
0,476333;4,448404;3,720394;;
0,480111;4,426828;3,719293;;
0,477778;4,411303;3,72403;;
0,478222;4,425394;3,72202;;
0,473333;4,416556;3,725141;;
0,485111;4,441848;3,72403;;
0,477556;4,430747;3,719303;;
0,476667;4,418333;3,721778;;
0,482889;4,413141;3,722768;;
0,493;4,434848;3,72201;;
0,479556;4,449212;3,719919;;
0,484556;4,468051;3,724101;;
0,475667;4,453202;3,722293;;
0,487778;4,398152;3,716434;;
0,478778;4,435556;3,713889;;
0,476778;4,423323;3,715828;;
0,483111;4,426657;3,71802;;
