Primary Ray Stage;Intersection Stage;Color Stage;;
2,337778;4,026074;13,181315;;0,44094
0,443222;3,39537;12,458593;;3,39761
0,439556;3,395852;12,472074;;12,47093
0,438667;3,393907;12,475778;;
0,440111;3,403759;12,475611;;
0,441667;3,39513;12,478944;;
0,439667;3,390704;12,482222;;
0,443333;3,402685;12,479074;;
0,439111;3,394648;12,475556;;
0,444111;3,397963;12,478222;;
0,437;3,458944;12,473407;;
0,441556;3,398167;12,472704;;
0,430889;3,390222;12,469907;;
0,439444;3,394926;12,462815;;
0,438667;3,398056;12,466222;;
0,440333;3,387907;12,464889;;
0,436444;3,398741;12,451981;;
0,438111;3,399278;12,454444;;
0,438556;3,398481;12,467278;;
0,439556;3,397611;12,47837;;
0,439556;3,400685;12,476056;;
0,439444;3,395704;12,476;;
0,439444;3,390796;12,479204;;
0,435111;3,395778;12,476944;;
0,435667;3,394167;12,469981;;
0,437556;3,395148;12,470944;;
0,437111;3,398926;12,471556;;
0,437889;3,398352;12,4695;;
0,441111;3,403556;12,469852;;
0,436222;3,401111;12,470889;;
0,439889;3,392111;12,465574;;
0,598778;3,400648;12,461352;;
0,441111;3,388611;12,452463;;
0,440222;3,399444;12,455981;;
0,446556;3,401611;12,466556;;
0,441222;3,393981;12,475111;;
0,435222;3,396185;12,474148;;
0,441778;3,390537;12,478815;;
0,436444;3,395389;12,475463;;
0,443111;3,39437;12,478556;;
0,441778;3,395296;12,473889;;
0,441333;3,392148;12,468833;;
0,443444;3,401593;12,470315;;
0,438889;3,391222;12,469074;;
0,435;3,396185;12,470833;;
0,436667;3,400648;12,470278;;
0,442;3,389278;12,460611;;
0,438889;3,390907;12,460815;;
0,442556;3,391259;12,451204;;
0,435889;3,390796;12,457833;;
0,440889;3,393722;12,467556;;
0,443556;3,387019;12,477389;;
0,444667;3,391907;12,476685;;
0,445778;3,394185;12,480944;;
0,439889;3,390778;12,478963;;
0,431889;3,394981;12,481833;;
0,434111;3,397593;12,473741;;
0,441667;3,396185;12,46913;;
0,443111;3,393185;12,469722;;
0,434778;3,39737;12,473259;;
0,436222;3,447315;12,471796;;
0,441222;3,395111;12,475852;;
0,437444;3,395593;12,463278;;
0,442;3,393519;12,462556;;
0,438778;3,392833;12,449796;;
0,441;3,393611;12,456593;;
0,437778;3,397537;12,472111;;
0,431778;3,453537;12,473574;;
0,441222;3,394741;12,475926;;
0,434333;3,389944;12,477148;;
0,434;3,396241;12,481259;;
0,446556;3,391148;12,477;;
0,443111;3,394;12,476704;;
0,436778;3,4035;12,469907;;
