Primary Ray Stage;Intersection Stage;Color Stage;;
0,833111;4,657556;5,92;;0,48611
0,486222;2,931111;3,724667;;2,92765
0,474444;2,926556;3,724889;;3,72228
0,473889;2,928444;3,717889;;
0,475556;2,930778;3,716444;;
0,482444;2,928333;3,718556;;
0,488;2,928222;3,707778;;
0,490778;2,922333;3,712667;;
0,476333;2,925444;3,714667;;
0,483222;2,928778;3,720667;;
0,476;2,930444;3,713111;;
0,479111;2,926111;3,722667;;
0,484778;2,921111;3,715111;;
0,490667;2,925111;3,731556;;
0,475444;2,930222;3,715556;;
0,484778;2,928556;3,721778;;
0,840889;2,924222;3,725444;;
0,484;2,927111;3,714556;;
0,474222;2,929667;3,708222;;
0,489667;2,931444;3,723667;;
0,489111;2,926444;3,720333;;
0,482667;2,932111;3,705556;;
0,486222;2,937444;4,118556;;
0,487889;2,927111;3,717667;;
0,474222;2,925556;3,713444;;
0,496222;2,929667;3,721;;
0,482;2,923778;3,724556;;
0,479556;2,935;3,715556;;
0,477444;2,927444;3,714444;;
0,488111;2,926889;3,722667;;
0,482444;2,932556;3,715222;;
0,483222;2,926889;3,724778;;
0,472667;2,926889;3,726667;;
0,489778;2,925556;3,716444;;
0,471222;2,927222;3,713778;;
0,503778;2,923667;3,721556;;
0,474222;2,927667;3,723;;
0,488889;2,926111;3,713889;;
0,482556;2,932667;3,715778;;
0,492889;2,930111;3,734333;;
0,493111;2,926333;3,716111;;
0,485222;2,928333;3,705333;;
0,484889;2,929111;3,719333;;
0,487778;2,929889;3,709333;;
0,473222;2,922444;3,721556;;
0,479889;2,927889;3,717778;;
0,479667;2,926667;3,722778;;
0,477444;2,926667;3,735444;;
0,481889;2,931667;3,707556;;
0,490778;2,928889;3,710667;;
0,479;2,927889;3,724444;;
0,487333;2,921778;3,721556;;
0,480222;2,932222;3,722778;;
0,479;2,93;3,716889;;
0,483;2,929111;3,708667;;
0,480444;2,927778;3,716;;
0,481889;2,921111;3,724111;;
0,482111;2,926444;3,721222;;
0,490889;2,925444;3,726333;;
0,494444;2,927667;3,710111;;
0,492778;2,923889;3,717222;;
0,489222;2,932556;3,714889;;
0,482556;2,925333;3,714556;;
0,471333;2,924333;3,727444;;
0,485333;2,926667;3,708778;;
0,488444;2,929333;3,717778;;
0,482556;2,930667;3,710222;;
0,467444;2,924444;3,718222;;
0,479444;2,924556;3,722889;;
0,479111;2,925222;3,717;;
0,478111;2,931222;3,718667;;
0,473889;2,922333;3,725;;
0,479222;2,929889;3,712444;;
0,483333;2,926556;3,713778;;
0,481778;2,927778;3,706667;;
0,471333;2,929333;3,732111;;
0,475111;2,92;3,714889;;
0,480778;2,930778;3,709111;;
0,489;2,925667;3,717556;;
0,484;2,923444;3,721111;;
0,485444;2,939222;3,729889;;
0,486778;2,927778;3,716111;;
0,474667;2,930667;3,712778;;
0,480778;2,927333;3,721667;;
