Primary Ray Stage;Intersection Stage;Color Stage;;
2,250111;7,620833;5,0195;;0,48518
0,483;3,800889;3,696889;;3,73766
0,489222;3,772333;3,694;;3,70134
0,481667;3,793889;3,695278;;
0,477;3,703222;3,694167;;
0,493778;3,656056;3,701722;;
0,486667;3,701111;3,700333;;
0,482444;3,743222;3,707111;;
0,481889;3,7075;3,705111;;
0,476222;3,727333;3,698111;;
0,483889;3,710389;3,708667;;
0,478;3,697778;3,698056;;
0,477444;3,712611;3,697556;;
0,477889;3,944889;3,703222;;
0,472222;3,719111;3,705722;;
0,477444;3,702389;3,711111;;
0,483556;3,677278;3,698111;;
0,478889;3,665389;3,710833;;
0,476444;3,742278;3,699389;;
0,484889;3,7745;3,7195;;
0,483556;3,7615;3,704889;;
0,482889;3,738222;3,692278;;
0,483667;3,766611;3,698111;;
0,482222;3,684167;3,703556;;
0,484111;3,704778;3,705056;;
0,497667;3,758611;3,705833;;
0,473778;3,764944;3,704667;;
0,474333;3,753056;3,697056;;
0,481889;3,7245;3,696944;;
0,476111;3,707778;3,699833;;
0,480889;3,753389;3,700278;;
0,473222;3,728389;3,704667;;
0,491111;3,701611;3,702;;
0,470778;3,746056;3,698667;;
0,479667;3,742222;3,701778;;
0,484;3,704222;3,697611;;
0,478778;3,750556;3,697111;;
0,486;3,710778;3,704167;;
0,490889;3,745222;3,705833;;
0,475333;3,712;3,706778;;
0,489778;3,700889;3,705278;;
0,481;3,750278;3,708667;;
0,491556;3,722611;3,699333;;
0,478;3,752;3,704111;;
0,481556;3,786778;3,694556;;
0,484111;3,776444;3,700278;;
0,476778;3,858056;3,703778;;
0,481778;3,779556;3,705611;;
0,490667;3,740667;3,700611;;
0,474;3,7625;3,702889;;
0,489111;3,680444;3,699944;;
0,494444;3,753167;3,704167;;
0,484556;3,763056;3,704778;;
0,472111;3,737;3,704111;;
0,481556;3,739778;3,697556;;
0,477333;3,713778;3,700056;;
0,485444;3,749389;3,703611;;
0,477778;3,796889;3,700944;;
0,488444;3,759389;3,695222;;
0,821889;3,776778;3,713222;;
0,482333;3,750167;3,701278;;
0,471333;3,754556;3,700333;;
0,475333;3,787611;3,701556;;
0,482333;3,703389;3,714833;;
0,485111;3,727333;3,705278;;
0,485222;3,753167;3,701611;;
0,481222;3,781611;3,699222;;
0,488;3,717722;3,698556;;
0,486778;3,722167;3,699333;;
0,477778;3,728722;3,694556;;
0,490556;3,732333;3,711778;;
0,490889;3,815;3,701778;;
0,481667;3,807333;3,699333;;
0,481;3,736333;3,700722;;
0,482778;3,766667;3,697056;;
0,482556;3,717667;3,704222;;
0,474556;3,718333;3,6935;;
0,479111;3,795611;3,696222;;
0,48;3,531556;3,692111;;
0,479889;3,747944;3,695333;;
0,487667;3,724556;3,698;;
0,487667;3,6875;3,696111;;
0,482111;3,726611;3,698389;;
0,476556;3,910722;3,700167;;
0,486667;3,726;3,698111;;
0,499667;3,638833;3,697056;;
0,479;3,720056;3,697778;;
0,474889;3,699056;3,691611;;
0,483778;3,759;3,695;;
0,490667;3,7285;3,701667;;
0,477;3,6735;3,703444;;
0,478333;3,745167;3,6945;;
0,476556;3,719444;3,704;;
0,480556;3,744944;3,705111;;
0,482889;3,662222;3,694556;;
0,478444;3,7205;3,702333;;
0,481;3,6775;3,701167;;
0,490889;3,682167;3,700778;;
0,476556;3,758222;3,696167;;
0,476889;3,741;3,697722;;
0,475667;3,729833;3,702667;;
0,487444;3,859556;3,704;;
0,475889;3,765389;3,699;;
0,477222;3,804778;3,703111;;
0,479778;3,760667;3,709556;;
0,479889;3,746611;3,704;;
0,477556;3,819944;3,700111;;
0,482;3,724111;3,6975;;
0,483111;3,703167;3,703278;;
0,487444;3,862111;3,706222;;
0,480556;3,755611;3,707944;;
0,477444;3,732222;3,696944;;
0,472556;3,690111;3,701667;;
0,481667;3,7485;3,696278;;
0,490667;3,733722;3,694056;;
0,475667;3,712;3,705444;;
0,489556;3,734667;3,701889;;
0,474111;3,756389;3,699778;;
0,476;3,695889;3,699278;;
0,486667;3,723556;3,698667;;
0,475222;3,758667;3,691556;;
0,481333;3,720333;3,704556;;
0,481889;3,650944;3,699167;;
0,487556;3,753389;3,702722;;
0,478111;3,761889;3,703944;;
0,483778;3,717222;3,702944;;
0,484111;3,818389;3,705667;;
0,490111;3,739111;3,6975;;
0,481778;3,808722;3,702611;;
0,479778;3,710833;3,700056;;
0,478778;3,757333;3,701389;;
0,490889;3,689111;3,698722;;
0,480667;3,731444;3,708222;;
0,486444;3,775944;3,705722;;
0,490444;3,722389;3,7045;;
0,486333;3,740278;3,706167;;
0,483889;3,783333;3,703333;;
0,475778;3,834611;3,702889;;
0,485556;3,683611;3,710389;;
0,480778;3,691222;3,702944;;
0,475444;3,733167;3,706167;;
0,492222;3,7235;3,710444;;
0,491;3,747444;3,706944;;
0,484111;3,742056;3,700167;;
0,478889;3,764167;3,696833;;
0,484333;3,753111;3,705722;;
0,484667;3,687333;3,698444;;
0,481444;3,758278;3,704278;;
0,476444;3,773444;3,706389;;
0,476111;3,685333;3,701389;;
0,481556;3,817944;3,704;;
0,488222;3,7015;3,700944;;
0,489111;3,710167;3,699056;;
0,474667;3,717444;3,701722;;
0,477556;3,765667;3,704778;;
0,479;3,703889;3,7005;;
0,473667;3,728611;3,702889;;
0,474667;3,804722;3,703056;;
0,485111;3,774;3,701667;;
0,467556;3,776944;3,705111;;
0,488111;3,773167;3,698667;;
0,47;3,783444;3,701556;;
0,479667;3,770611;3,705889;;
0,472556;3,767;3,7025;;
0,486;3,766111;3,704667;;
0,479778;3,760722;3,700722;;
0,474667;3,745;3,703444;;
0,486889;3,665;3,698389;;
0,488333;3,673889;3,7045;;
0,485667;3,677444;3,709944;;
0,491333;3,709778;3,700056;;
0,500111;3,803389;3,699722;;
0,485667;3,722722;3,703667;;
0,481111;3,737444;3,702611;;
0,478778;3,802167;3,695444;;
0,486222;3,677;3,697667;;
0,479778;3,697667;3,686833;;
0,478444;3,722056;3,691611;;
0,499889;3,656611;3,701;;
0,471889;3,734167;3,695667;;
0,492222;3,707111;3,697611;;
0,480333;3,738611;3,690889;;
0,476667;3,781;3,6995;;
0,479333;3,693778;3,704111;;
0,480889;3,689778;3,701167;;
0,487;3,744056;3,707556;;
0,487111;3,797333;3,6995;;
0,483;3,7215;3,702778;;
0,490111;3,745722;3,697833;;
0,489;3,749611;3,696944;;
0,483778;3,699556;3,708611;;
0,478;3,721056;3,709056;;
0,476778;3,739222;3,705222;;
0,480222;3,785944;3,702722;;
0,480111;3,799167;3,702333;;
0,482556;3,708556;3,7035;;
0,482667;3,754222;3,697722;;
0,48;3,722;3,703722;;
0,480667;3,708611;3,706;;
0,481556;3,680667;3,700833;;
0,481556;3,773056;3,704222;;
0,482111;3,71;3,706944;;
0,487333;3,681556;3,705111;;
0,489667;3,713278;3,695889;;
0,474333;3,688278;3,701;;
0,476222;3,685222;3,7005;;
0,485;3,741667;3,706167;;
0,478556;3,769056;3,697778;;
0,481111;3,721611;3,695222;;
0,478889;3,749167;3,695833;;
0,490111;3,803722;3,699167;;
0,468;3,743389;3,701167;;
0,488;3,606278;3,698889;;
0,479778;3,707;3,697056;;
0,485222;3,742444;3,701389;;
0,479778;3,779889;3,703667;;
0,484111;3,7615;3,695;;
0,487889;3,8045;3,698833;;
0,484444;3,795944;3,702889;;
0,504556;3,757667;3,698556;;
0,471444;3,734;3,700222;;
0,485;3,789111;3,701444;;
0,477333;3,726778;3,704278;;
0,486222;3,720222;3,710778;;
0,486667;3,675056;3,699611;;
0,477111;3,665333;3,695111;;
0,485111;3,732444;3,693889;;
0,475556;3,782944;3,703722;;
0,472333;3,733611;3,698056;;
0,486333;3,736833;3,7025;;
0,471111;3,755667;3,692111;;
0,479333;3,792889;3,693056;;
0,477;3,755222;3,708222;;
0,486667;3,678056;3,710667;;
0,469889;3,774556;3,703056;;
0,472556;3,805389;3,705222;;
