Primary Ray Stage;Intersection Stage;Color Stage;;
1,707111;7,218556;4,921333;;0,24266
0,286444;3,833;4,826556;;2,4046
0,242444;2,403111;3,074778;;3,06487
0,243556;2,405889;3,056333;;
0,242556;2,405556;3,042556;;
0,240333;2,406111;3,061556;;
0,245111;2,407111;3,061111;;
0,243667;2,404111;3,071111;;
0,242889;2,400222;3,052;;
0,244111;2,400111;3,056667;;
0,244556;2,410556;3,057333;;
0,244333;2,404222;3,084;;
0,245778;2,407;3,061667;;
0,247111;2,406556;3,091333;;
0,241556;2,403222;3,070778;;
0,244333;2,397667;3,080222;;
0,241778;2,406111;3,055556;;
0,245444;2,411556;3,071889;;
0,241333;2,400556;3,046222;;
0,240333;2,406667;3,061111;;
0,247444;2,415111;3,060556;;
0,242778;2,405;3,065111;;
0,238444;2,403556;3,059111;;
0,238778;2,402667;3,058111;;
0,239444;2,398778;3,071889;;
0,240889;2,408556;3,053111;;
0,238778;2,404;3,059556;;
0,247778;2,406111;3,043111;;
0,242222;2,406556;3,056222;;
0,242889;2,406667;3,064778;;
0,24;2,408222;3,063778;;
0,241667;2,410667;3,066556;;
0,240667;2,403556;3,089889;;
0,242333;2,404222;3,072889;;
0,244333;2,406444;3,054778;;
0,246111;2,399778;3,083667;;
0,241333;2,408;3,067556;;
0,242444;2,406444;3,047333;;
0,235444;2,401667;3,076667;;
0,245333;2,396556;3,051;;
0,236667;2,401889;3,052667;;
0,244667;2,401111;3,054889;;
0,245444;2,402556;3,076111;;
0,239778;2,408;3,079444;;
0,244556;2,404;3,053889;;
0,243667;2,405889;3,061667;;
0,240667;2,399444;3,067778;;
0,246;2,407222;3,098556;;
0,243889;2,405;3,064667;;
0,242111;2,404333;3,075444;;
0,240556;2,400222;3,078333;;
0,244778;2,403;3,085444;;
0,240667;2,407444;3,047444;;
0,243444;2,406667;3,042889;;
0,243;2,404333;3,066667;;
0,244222;2,402444;3,069778;;
0,241556;2,396778;3,072333;;
0,243667;2,406778;3,072222;;
0,239222;2,405;3,069444;;
0,242889;2,407;3,050222;;
0,246556;2,401222;3,056;;
0,242222;2,402889;3,066444;;
0,242333;2,399667;3,058444;;
0,239444;2,402333;3,060778;;
0,242556;2,403111;3,052556;;
0,245556;2,399556;3,095444;;
0,238778;2,402444;3,072444;;
0,242;2,409778;3,049889;;
0,244222;2,404889;3,054667;;
0,240333;2,399556;3,063333;;
0,246333;2,405222;3,049667;;
0,242889;2,409222;3,052111;;
0,242444;2,403889;3,073556;;
0,242444;2,400889;3,079;;
0,246778;2,400778;3,054444;;
0,243;2,406556;3,076889;;
0,243222;2,410333;3,059556;;
0,241111;2,400333;3,056667;;
0,240111;2,406;3,054111;;
0,243111;2,402222;3,060111;;
0,244;2,406556;3,081667;;
0,241667;2,403444;3,042667;;
0,246778;2,407333;3,045222;;
0,242778;2,404333;3,046111;;
0,241444;2,405667;3,061111;;
0,244111;2,406111;3,089667;;
0,243778;2,410111;3,084667;;
0,238556;2,398;3,086111;;
0,242222;2,406556;3,085556;;
0,242889;2,401778;3,075778;;
0,244444;2,401222;3,066222;;
0,241889;2,403111;3,069;;
0,243444;2,405;3,089889;;
0,241778;2,400667;3,056889;;
0,240444;2,406778;3,065556;;
0,240778;2,406222;3,056222;;
0,243778;2,412333;3,052111;;
0,243556;2,401222;3,057444;;
0,241667;2,408778;3,061222;;
0,246;2,404667;3,074333;;
0,243111;2,405;3,050111;;
0,242889;2,409556;3,071222;;
0,240778;2,403667;3,074667;;
0,241333;2,408333;3,077667;;
0,243444;2,408444;3,054;;
0,244889;2,406111;3,062333;;
0,244667;2,400667;3,074778;;
0,24;2,408889;3,078556;;
0,244111;2,402333;3,052222;;
0,243222;2,401889;3,074778;;
0,242889;2,404556;3,052111;;
0,244556;2,404222;3,050222;;
0,240111;2,404778;3,066333;;
0,243778;2,409333;3,060667;;
0,243444;2,409778;3,092667;;
0,244778;2,402222;3,042889;;
0,240333;2,408;3,067;;
0,241889;2,410333;3,062111;;
0,241667;2,407333;3,088;;
0,243333;2,406222;3,083;;
0,244;2,406;3,072556;;
0,242778;2,405667;3,053222;;
0,243778;2,405556;3,056444;;
0,240778;2,406667;3,062111;;
0,242222;2,408222;3,073556;;
0,243889;2,399444;3,048222;;
0,238222;2,400889;3,058667;;
0,244;2,403444;3,056;;
0,242;2,408556;3,045444;;
0,243556;2,404556;3,057556;;
0,240778;2,402111;3,046889;;
0,242111;2,404778;3,052111;;
0,244222;2,403111;3,081111;;
0,243333;2,399444;3,070111;;
0,240889;2,405889;3,052333;;
0,246556;2,404333;3,066667;;
0,241889;2,410444;3,067889;;
0,241111;2,400667;3,045889;;
0,244333;2,404667;3,048222;;
0,244111;2,408111;3,063444;;
0,237333;2,409111;3,069444;;
0,241333;2,411556;3,059556;;
0,241444;2,405333;3,051667;;
0,244444;2,403444;3,062556;;
0,241;2,404111;3,071111;;
0,247222;2,403444;3,053111;;
0,240778;2,402111;3,065;;
0,244;2,404222;3,074889;;
0,242;2,406111;3,059778;;
0,243667;2,407889;3,052556;;
0,239667;2,401;3,052778;;
0,243222;2,403111;3,065667;;
0,241556;2,401333;3,082889;;
0,243889;2,407333;3,054667;;
0,237444;2,404556;3,088333;;
0,239;2,405222;3,083556;;
0,243111;2,397111;3,068;;
0,242778;2,409;3,054889;;
0,244778;2,396111;3,064333;;
0,243222;2,407444;3,066778;;
0,243444;2,404889;3,041778;;
0,242889;2,410333;3,074667;;
0,242222;2,402667;3,070778;;
0,241111;2,407889;3,092667;;
0,240556;2,408111;3,051;;
0,245;2,399;3,084333;;
0,244222;2,404556;3,068778;;
0,243333;2,405889;3,071222;;
0,239556;2,408;3,045778;;
0,241222;2,406556;3,061111;;
0,242222;2,397;3,063889;;
0,241667;2,652556;3,053667;;
0,240222;2,407778;3,054111;;
0,246;2,403333;3,059333;;
0,240667;2,404778;3,067889;;
0,242;2,404;3,055556;;
0,247556;2,405667;3,065778;;
0,243444;2,403222;3,085556;;
0,242444;2,399556;3,072556;;
0,241889;2,408444;3,070667;;
0,242111;2,407667;3,065222;;
0,240556;2,405778;3,065889;;
0,243444;2,404667;3,065;;
0,240667;2,407889;3,093111;;
0,241222;2,404778;3,061444;;
0,244667;2,394889;3,093556;;
0,242889;2,408889;3,087;;
0,244889;2,408;3,046667;;
0,242;2,408333;3,080333;;
0,243111;2,412778;3,065556;;
0,240667;2,402111;3,071111;;
0,242667;2,402556;3,051444;;
0,241667;2,403889;3,062222;;
0,242667;2,405111;3,054222;;
0,241889;2,411556;3,063222;;
0,244667;2,404444;3,068444;;
0,242556;2,402111;3,052;;
0,245556;2,402556;3,069111;;
0,242778;2,403889;3,058556;;
0,247444;2,408111;3,085333;;
0,243556;2,403889;3,065556;;
0,243333;2,406444;3,069889;;
0,241556;2,401667;3,060778;;
0,242444;2,407111;3,067889;;
0,241778;2,408667;3,079556;;
0,247444;2,402556;3,05;;
0,238778;2,401333;3,079778;;
0,244889;2,406111;3,054667;;
0,241778;2,405444;3,072556;;
0,246889;2,402;3,062667;;
0,241889;2,407111;3,06;;
0,243333;2,410111;3,065556;;
0,241889;2,403667;3,059;;
0,245111;2,401667;3,058778;;
0,243222;2,409333;3,068889;;
0,244222;2,404556;3,050444;;
0,242333;2,403444;3,059222;;
0,247111;2,406444;3,063111;;
0,239889;2,403778;3,078333;;
0,241667;2,398778;3,308333;;
0,242556;2,401222;3,057667;;
0,240778;2,410556;3,046667;;
0,242778;2,407;3,063;;
0,245556;2,409;3,064778;;
0,241333;2,402111;3,080222;;
0,244333;2,402667;3,046889;;
0,245;2,407111;3,058778;;
0,242889;2,409778;3,066556;;
0,243444;2,407556;3,053667;;
0,244;2,402778;3,061889;;
0,247556;2,400778;3,066222;;
0,240222;2,399111;3,061333;;
0,244778;2,400444;3,039;;
0,238556;2,401889;3,056889;;
0,241889;2,408667;3,059889;;
0,243556;2,405111;3,055;;
0,240556;2,400444;3,064111;;
0,244111;2,407;3,045778;;
0,242333;2,410111;3,053111;;
0,240778;2,412556;3,055778;;
0,246111;2,405444;3,054;;
0,244556;2,407;3,086889;;
0,240889;2,404778;3,057222;;
0,246222;2,401889;3,070222;;
0,243667;2,404;3,065889;;
0,240222;2,406;3,065889;;
