Primary Ray Stage;Intersection Stage;Color Stage;;
0,493222;2,558519;10,514593;;0,25129
0,246222;2,337556;9,884611;;2,33916
0,246667;2,3425;9,890611;;9,8997
0,249222;2,335593;9,896815;;
0,246444;2,339981;9,905333;;
0,251778;2,342537;9,90313;;
0,247556;2,339574;9,9045;;
0,249667;2,338778;9,911352;;
0,249667;2,344315;9,908852;;
0,249444;2,337852;9,901056;;
0,245889;2,340463;9,908741;;
0,250333;2,3355;9,900185;;
0,251333;2,369389;9,905;;
0,249333;2,3415;9,90113;;
0,250333;2,337611;9,904815;;
0,245444;2,338444;9,902778;;
0,246111;2,343037;9,898981;;
0,243889;2,34137;9,896963;;
0,252556;2,341426;9,880926;;
0,246;2,343148;9,885074;;
0,251;2,341704;9,876685;;
0,255111;2,338426;9,872889;;
0,249556;2,339278;9,886685;;
0,249;2,337722;9,896444;;
0,252333;2,341685;9,910852;;
0,250111;2,33813;9,900407;;
0,251889;2,333148;9,906019;;
0,250222;2,338204;9,907537;;
0,254111;2,340852;9,913204;;
0,253889;2,339111;9,909;;
0,253222;2,338259;9,90587;;
0,248444;2,343426;9,89863;;
0,251333;2,337907;9,895296;;
0,254222;2,342185;9,904963;;
0,246222;2,338074;9,901;;
0,253667;2,338407;9,899889;;
0,246444;2,337944;9,897907;;
0,245889;2,336611;9,909056;;
0,247222;2,340944;9,892333;;
0,251444;2,333759;9,890407;;
0,250889;2,341833;9,893352;;
0,253778;2,336833;9,871222;;
0,248333;2,34163;9,879926;;
0,250667;2,337907;9,886759;;
0,251222;2,337204;9,891926;;
0,251778;2,337611;9,89687;;
0,254556;2,337944;9,904037;;
0,252111;2,338685;9,899056;;
0,249667;2,337333;9,904944;;
0,251667;2,339222;9,902481;;
0,249667;2,341407;9,913815;;
0,251778;2,336204;9,914944;;
0,251111;2,340352;9,926241;;
0,251778;2,334315;9,910481;;
0,250889;2,339667;9,90437;;
0,252889;2,334981;9,898852;;
0,247778;2,334185;9,898963;;
0,247667;2,336185;9,900815;;
0,252111;2,335759;9,896296;;
0,253333;2,338111;9,892111;;
0,246667;2,338019;9,892111;;
0,248111;2,334611;9,890463;;
0,248556;2,338852;9,887815;;
0,245667;2,338796;9,883815;;
0,249111;2,340796;9,896537;;
0,250778;2,336148;9,90213;;
0,246222;2,340778;9,898704;;
0,251778;2,340074;9,904963;;
0,251111;2,340407;9,897667;;
0,247667;2,337815;9,908278;;
0,251;2,337852;9,906944;;
0,248889;2,335852;9,966704;;
0,247333;2,336296;9,900574;;
0,248222;2,332704;9,899926;;
0,248222;2,339185;9,901278;;
0,394444;2,337944;9,89563;;
0,249889;2,337944;9,908037;;
0,248889;2,344204;9,911481;;
0,252222;2,337259;9,904315;;
0,251889;2,339111;9,894796;;
0,251;2,340315;9,895981;;
0,252556;2,337426;9,890574;;
0,250222;2,337278;9,880056;;
0,250889;2,334963;9,889963;;
0,252111;2,339074;9,877593;;
0,247111;2,336241;9,894426;;
0,244667;2,33513;9,896741;;
0,251222;2,338407;9,902685;;
0,247667;2,337;9,905852;;
0,247;2,336593;9,903593;;
0,246889;2,334296;9,906833;;
0,249333;2,338611;9,908278;;
0,247556;2,338685;9,905944;;
0,253;2,338852;9,903778;;
0,249667;2,340685;9,906481;;
0,249111;2,340556;9,899222;;
0,249444;2,346907;9,904093;;
0,250333;2,338611;9,911056;;
