Primary Ray Stage;Intersection Stage;Color Stage;;
1,557111;2,957481;3,423056;;0,24314
0,243222;2,47537;3,057056;;2,4766
0,242333;2,479167;3,056426;;3,05668
0,241111;2,475574;3,056741;;
0,243;2,477352;3,057148;;
0,244667;2,479741;3,053519;;
0,244222;2,475685;3,063815;;
0,243889;2,478;3,051778;;
0,239667;2,475815;3,058148;;
0,241333;2,478315;3,060593;;
0,240667;2,47487;3,06113;;
0,243222;2,477389;3,054148;;
0,24;2,475741;3,055352;;
0,243778;2,478352;3,056296;;
0,242222;2,483204;3,057704;;
0,248333;2,479056;3,05787;;
0,244333;2,476074;3,054407;;
0,244222;2,475407;3,056963;;
0,246556;2,474481;3,053963;;
0,239889;2,47663;3,049241;;
0,244;2,478815;3,051944;;
0,244778;2,475407;3,054741;;
0,245333;2,476185;3,0635;;
0,240444;2,47737;3,057704;;
0,239667;2,473;3,057241;;
0,245444;2,47713;3,056722;;
0,242889;2,477056;3,054796;;
0,248667;2,476;3,056333;;
0,241778;2,475037;3,051574;;
0,245111;2,482981;3,052204;;
0,244556;2,472926;3,05563;;
0,245556;2,477278;3,050889;;
0,239889;2,476815;3,057926;;
0,243444;2,476963;3,052889;;
0,243889;2,4755;3,054815;;
0,241333;2,473963;3,055889;;
0,245667;2,477315;3,054481;;
0,243667;2,477667;3,05263;;
0,244222;2,473259;3,053426;;
0,243667;2,474056;3,048259;;
0,245444;2,47213;3,05437;;
0,244;2,477889;3,106556;;
0,242222;2,475278;3,054944;;
0,245333;2,476704;3,058815;;
0,243111;2,475648;3,058222;;
0,242889;2,473852;3,052;;
0,242778;2,47463;3,054852;;
0,243556;2,475722;3,055056;;
0,242222;2,475667;3,056185;;
0,240889;2,477111;3,052833;;
0,243444;2,475796;3,055537;;
0,242444;2,479741;3,055259;;
0,241889;2,475259;3,054444;;
0,240444;2,477278;3,058333;;
0,243889;2,481593;3,057685;;
0,245333;2,475852;3,054222;;
0,242889;2,481185;3,060148;;
0,243333;2,476463;3,046778;;
0,240778;2,478056;3,05387;;
0,245333;2,478444;3,054944;;
0,243333;2,477833;3,050593;;
0,242556;2,472944;3,058296;;
0,248778;2,474389;3,057;;
0,242556;2,473444;3,054944;;
0,239556;2,476204;3,061;;
0,244889;2,478185;3,053537;;
0,240889;2,477444;3,052463;;
0,244556;2,477241;3,057148;;
0,238;2,476352;3,057019;;
0,243667;2,473907;3,055722;;
0,244667;2,475778;3,055907;;
0,242778;2,476444;3,059963;;
0,240444;2,481315;3,052593;;
0,244111;2,476796;3,053944;;
0,240556;2,477944;3,055056;;
0,240111;2,47613;3,05187;;
0,241667;2,47663;3,061685;;
0,243667;2,476833;3,05337;;
0,243222;2,475907;3,052556;;
0,242;2,473333;3,058963;;
0,246222;2,472796;3,050333;;
0,242333;2,477463;3,054759;;
0,25;2,478593;3,054519;;
0,240667;2,473685;3,051796;;
0,243111;2,476759;3,057167;;
0,242778;2,477426;3,052241;;
0,244778;2,473241;3,055852;;
0,242778;2,47213;3,050037;;
0,237889;2,473;3,052519;;
0,243111;2,477778;3,049815;;
0,247111;2,479722;3,048685;;
0,242222;2,473741;3,054278;;
0,238333;2,477667;3,049981;;
0,243556;2,476722;3,053407;;
0,244;2,477611;3,056352;;
0,245667;2,47737;3,057185;;
0,241111;2,476407;3,117852;;
0,245556;2,477519;3,054352;;
0,243333;2,480426;3,0525;;
0,242444;2,478574;3,113963;;
0,244;2,475333;3,059352;;
0,239;2,478815;3,053296;;
0,241111;2,478167;3,056019;;
0,241333;2,477778;3,050574;;
0,246667;2,477815;3,053019;;
0,238;2,474296;3,059407;;
0,242222;2,476611;3,054815;;
0,242222;2,472574;3,056259;;
0,241;2,47387;3,059333;;
0,245556;2,474444;3,05713;;
0,239667;2,474352;3,052519;;
0,241111;2,474056;3,058093;;
0,242444;2,475463;3,05563;;
0,240889;2,477574;3,059481;;
0,244444;2,481519;3,055056;;
0,239889;2,475259;3,058796;;
0,242778;2,474537;3,060704;;
0,243;2,475167;3,052685;;
0,240889;2,478056;3,059611;;
0,239667;2,474648;3,058241;;
0,245778;2,531278;3,054759;;
0,243778;2,474074;3,057111;;
0,242;2,476704;3,0585;;
0,245889;2,478333;3,051537;;
0,242667;2,479167;3,053481;;
0,241667;2,477185;3,055667;;
0,242111;2,476296;3,052537;;
0,242333;2,477722;3,052722;;
0,242;2,474981;3,056574;;
0,241778;2,477741;3,052426;;
0,243222;2,477963;3,053;;
0,235111;2,473926;3,053648;;
0,243;2,475611;3,04837;;
0,242444;2,475315;3,053926;;
0,241556;2,475426;3,056185;;
0,242444;2,476722;3,055352;;
0,248333;2,483111;3,049222;;
0,243;2,478148;3,05713;;
0,241;2,475537;3,053722;;
0,244667;2,478167;3,05663;;
0,24;2,479981;3,047852;;
0,244333;2,479741;3,057278;;
0,244111;2,476759;3,056352;;
0,246333;2,477426;3,054648;;
0,244667;2,480685;3,057093;;
0,245556;2,476259;3,054556;;
0,244111;2,481204;3,055241;;
0,245889;2,479759;3,058444;;
0,244333;2,473426;3,053722;;
0,239;2,475407;3,060796;;
0,240333;2,477852;3,051944;;
0,240778;2,477556;3,061315;;
0,244111;2,478315;3,061574;;
0,244667;2,479148;3,054981;;
0,243333;2,47837;3,061944;;
0,242333;2,477704;3,058019;;
0,239333;2,479352;3,052352;;
0,239222;2,471685;3,057148;;
