Primary Ray Stage;Intersection Stage;Color Stage;;
1,846111;2,767556;3,258929;;0,24305
0,240778;2,504414;3,067687;;2,50405
0,243;2,505596;3,070455;;3,07263
0,236667;2,503879;3,074242;;
0,240556;2,536192;3,068909;;
0,245444;2,501929;3,073394;;
0,242444;2,502697;3,072;;
0,238667;2,503465;3,077141;;
0,243;2,503434;3,071475;;
0,247333;2,505354;3,074152;;
0,245222;2,50404;3,069333;;
0,241889;2,506232;3,071556;;
0,242444;2,505172;3,067687;;
0,242889;2,502778;3,074929;;
0,241556;2,503404;3,06704;;
0,245222;2,504707;3,07;;
0,240333;2,502667;3,071869;;
0,242778;2,503626;3,076899;;
0,243778;2,505343;3,07696;;
0,244889;2,506343;3,070364;;
0,246667;2,503919;3,069414;;
0,245667;2,504343;3,068091;;
0,244;2,503172;3,06698;;
0,244111;2,504172;3,072081;;
0,242889;2,505182;3,064525;;
0,240889;2,501394;3,068475;;
0,243889;2,505939;3,070131;;
0,240111;2,501525;3,070949;;
0,243;2,503141;3,075071;;
0,243444;2,503444;3,068374;;
0,245556;2,503515;3,079354;;
0,243444;2,502596;3,073323;;
0,241556;2,504212;3,067879;;
0,244778;2,501677;3,074444;;
0,241444;2,504909;3,072242;;
0,242556;2,503626;3,076283;;
0,243889;2,50499;3,069202;;
0,243222;2,503354;3,074848;;
0,243111;2,504071;3,071162;;
0,241778;2,504323;3,072919;;
0,245444;2,503545;3,069556;;
0,242;2,502323;3,074212;;
0,244889;2,500667;3,069535;;
0,242778;2,505313;3,068051;;
0,245556;2,506434;3,072566;;
0,243667;2,502;3,073253;;
0,245667;2,504333;3,069212;;
0,238111;2,504131;3,068212;;
0,244111;2,50396;3,065545;;
0,247111;2,500101;3,074838;;
0,247667;2,504394;3,069242;;
0,241333;2,505384;3,069859;;
0,245667;2,50596;3,069566;;
0,242111;2,50102;3,070253;;
0,245222;2,502505;3,089;;
0,244222;2,502677;3,068333;;
0,239556;2,506778;3,073778;;
0,241222;2,50299;3,07402;;
0,242778;2,505121;3,07298;;
0,243111;2,502354;3,069253;;
0,245444;2,503384;3,066263;;
0,240444;2,501737;3,075253;;
0,244222;2,504596;3,069545;;
0,242111;2,502899;3,073788;;
0,240111;2,504616;3,076859;;
0,243667;2,502838;3,070747;;
0,242667;2,500515;3,072384;;
0,247;2,503081;3,079798;;
0,246;2,521545;3,101889;;
0,239;2,507343;3,067929;;
0,241778;2,502131;3,06501;;
0,243778;2,504737;3,068202;;
0,243111;2,502222;3,076192;;
0,241667;2,504596;3,070273;;
0,245444;2,502646;3,070677;;
0,243556;2,500838;3,073677;;
0,244333;2,503485;3,07501;;
0,244111;2,502253;3,072293;;
0,243;2,501253;3,075566;;
0,242333;2,502646;3,074222;;
0,245333;2,504556;3,075909;;
0,243444;2,502303;3,069838;;
0,242333;2,503071;3,077869;;
0,244667;2,504172;3,074222;;
0,240556;2,503455;3,090768;;
0,241556;2,503677;3,077818;;
0,242;2,503788;3,075717;;
0,246;2,502616;3,075768;;
0,242667;2,503899;3,069212;;
0,241;2,502778;3,075162;;
0,240667;2,502556;3,075414;;
0,241111;2,504101;3,073293;;
0,240222;2,504091;3,075081;;
0,240111;2,502687;3,069091;;
0,243444;2,501384;3,072424;;
0,243889;2,504061;3,069828;;
0,242444;2,505596;3,067495;;
0,241;2,505364;3,073434;;
0,239333;2,502455;3,068707;;
0,242333;2,501576;3,068343;;
0,239333;2,502657;3,07201;;
0,242556;2,501707;3,074424;;
